Rapport de diffusion — 2026-06-05 (heures UTC)
208 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:05:14 BLOC_A_SERIE_DU_JOUR           1h19m00s     12m12s   -4008s  ❌ COUPÉ  part2
00:17:26 BLOC_A_SERIE_DU_JOUR              0m08s      0m05s      -3s  ✅  jingle avant message 02 enseignement parole de dieu
00:17:31 BLOC_A_SERIE_DU_JOUR             29m09s      0m45s   -1704s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
00:18:16 BLOC_A_SERIE_DU_JOUR             29m09s     30m05s     +56s  ⚠️ TROU APRÈS  aa la révélation de la victoire du fils mâle
00:48:21 BLOC_A_SERIE_DU_JOUR             29m09s      0m52s   -1697s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
00:49:13 BLOC_A_SERIE_DU_JOUR              3m07s     51m27s   +2900s  ⚠️ TROU APRÈS  2 Chronicles
01:40:40 BLOC_A_SERIE_DU_JOUR             29m09s      0m34s   -1715s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
01:41:14 BLOC_A_SERIE_DU_JOUR             29m09s      0m56s   -1693s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
01:42:10 BLOC_A_SERIE_DU_JOUR              2m21s     27m03s   +1482s  ⚠️ TROU APRÈS  Ecclesiaste
02:09:13 BLOC_A_SERIE_DU_JOUR              3m26s      3m22s      -4s  ✅  Abdias
02:12:35 BLOC_A_SERIE_DU_JOUR              0m05s      0m03s      -2s  ✅  jingle avant louange 04 suite de la selection musicale
02:12:38 BLOC_A_SERIE_DU_JOUR             29m09s      0m33s   -1716s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
02:13:11 BLOC_A_SERIE_DU_JOUR              0m07s      0m05s      -2s  ✅  jingle avant bible 02 voici la lecture de la bible
02:13:16 BLOC_A_SERIE_DU_JOUR             29m09s      0m53s   -1696s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
02:14:09 BLOC_A_SERIE_DU_JOUR              2m30s     22m08s   +1178s  ⚠️ TROU APRÈS  Amos
02:36:17 BLOC_A_SERIE_DU_JOUR              4m00s      3m58s      -2s  ✅  Bible_fr_07_judges_002
02:40:15 BLOC_A_SERIE_DU_JOUR              5m18s      5m16s      -2s  ✅  Bible_fr_07_judges_003
02:45:31 BLOC_A_SERIE_DU_JOUR              4m32s      4m32s      +0s  ✅  Bible_fr_07_judges_004
02:50:03 BLOC_A_SERIE_DU_JOUR             29m09s      0m20s   -1729s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
02:50:23 BLOC_A_SERIE_DU_JOUR             29m09s      0m48s   -1701s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
02:51:11 BLOC_A_SERIE_DU_JOUR              5m48s      5m45s      -3s  ✅  Bible_fr_01_gen_001
02:56:56 BLOC_A_SERIE_DU_JOUR              4m20s      4m17s      -3s  ✅  Bible_fr_01_gen_003
03:01:13 BLOC_A_SERIE_DU_JOUR              4m21s      4m19s      -2s  ✅  Bible_fr_01_gen_004
03:05:32 BLOC_A_SERIE_DU_JOUR              3m33s      3m37s      +4s  ✅  Bible_fr_01_gen_005
03:09:09 BLOC_A_SERIE_DU_JOUR             29m09s      0m07s   -1742s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
03:09:16 BLOC_A_SERIE_DU_JOUR              3m53s      3m51s      -2s  ✅  Bible_fr_01_gen_002
03:13:07 BLOC_A_SERIE_DU_JOUR              5m46s      5m43s      -3s  ✅  Bible_fr_07_judges_001
03:18:50 BLOC_A_SERIE_DU_JOUR              3m48s      3m45s      -3s  ✅  2 Chronicles
03:22:35 BLOC_A_SERIE_DU_JOUR              3m41s      7m18s    +217s  ⚠️ TROU APRÈS  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
03:29:53 BLOC_A_SERIE_DU_JOUR              5m14s      5m12s      -2s  ✅  Bible_fr_07_judges_005
03:35:05 BLOC_A_SERIE_DU_JOUR              5m19s     10m34s    +315s  ⚠️ TROU APRÈS  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
03:45:39 BLOC_A_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Ses cheveux étaient blancs..
03:48:58 BLOC_A_SERIE_DU_JOUR              5m13s     10m22s    +309s  ⚠️ TROU APRÈS  Il s'appelait Emmanuel - Marcel Boungou + Paroles
03:59:20 BLOC_A_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Hymne des vainqueurs
04:05:27 BLOC_A_SERIE_DU_JOUR              5m10s      5m07s      -3s  ✅  Igwe
04:10:34 BLOC_A_SERIE_DU_JOUR              6m28s     12m51s    +383s  ⚠️ TROU APRÈS  Le Bien-Etre Universel
04:23:25 BLOC_A_SERIE_DU_JOUR              6m41s     13m16s    +395s  ⚠️ TROU APRÈS  6 minutes
04:36:41 BLOC_A_SERIE_DU_JOUR              4m13s      8m21s    +248s  ⚠️ TROU APRÈS  4 minutes
04:45:02 BLOC_A_SERIE_DU_JOUR              9m23s     28m09s   +1126s  ⚠️ TROU APRÈS  10 minutes
05:13:11 BLOC_A_SERIE_DU_JOUR              0m05s      0m03s      -2s  ✅  Parole Prophétique FM
05:13:14 BLOC_A_SERIE_DU_JOUR             29m09s      1m01s   -1688s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
05:14:15 BLOC_A_SERIE_DU_JOUR             29m09s      1m00s   -1689s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
05:15:15 BLOC_A_SERIE_DU_JOUR              0m07s      0m04s      -3s  ✅  Parole Prophétique FM
05:15:19 BLOC_A_SERIE_DU_JOUR             29m09s      0m51s   -1698s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
05:16:10 BLOC_A_SERIE_DU_JOUR              0m07s      0m05s      -2s  ✅  Parole Prophétique FM
05:16:15 BLOC_A_SERIE_DU_JOUR             29m09s      0m56s   -1693s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
05:17:11 BLOC_A_SERIE_DU_JOUR              6m57s      6m54s      -3s  ✅  qui est digne d ouvrir le livre
05:24:05 BLOC_A_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  cantique  béni soit le dieu d israël
05:30:36 BLOC_A_SERIE_DU_JOUR              3m12s      9m30s    +378s  ⚠️ TROU APRÈS  esprit de dieu
05:40:06 BLOC_A_SERIE_DU_JOUR              2m20s      4m34s    +134s  ⚠️ TROU APRÈS  cantique  heureux l homme qui ne marche pas selon
05:44:40 BLOC_A_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  jai donné ma vie à jésus (1)
05:48:48 BLOC_A_SERIE_DU_JOUR              2m16s      4m26s    +130s  ⚠️ TROU APRÈS  cantique  nous sommes le sel de la terre
05:53:14 BLOC_A_SERIE_DU_JOUR              6m06s     12m08s    +362s  ⚠️ TROU APRÈS  cantique  ta bonte
06:05:22 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant message 01 voici le message du jour
06:05:30 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant message 01 voici le message du jour
06:05:38 BLOC_B_SERIE_DU_JOUR             29m09s     29m43s     +34s  ⚠️ TROU APRÈS  aa la révélation de la victoire du fils mâle
06:35:21 BLOC_B_SERIE_DU_JOUR             29m09s      0m52s   -1697s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
06:36:13 BLOC_B_SERIE_DU_JOUR              2m43s      6m36s    +233s  ⚠️ TROU APRÈS  Aggee
06:42:49 BLOC_B_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Abdias
06:46:12 BLOC_B_SERIE_DU_JOUR              2m59s      2m57s      -2s  ✅  Philemon
06:49:09 BLOC_B_SERIE_DU_JOUR              2m37s     12m35s    +598s  ⚠️ TROU APRÈS  Michee
07:01:44 BLOC_B_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  Lévitique 1
07:04:29 BLOC_B_SERIE_DU_JOUR              2m33s      2m30s      -3s  ✅  Lévitique 2
07:06:59 BLOC_B_SERIE_DU_JOUR              2m41s      2m38s      -3s  ✅  Lévitique 3
07:09:37 BLOC_B_SERIE_DU_JOUR              3m52s      3m50s      -2s  ✅  Lévitique 5
07:13:27 BLOC_B_SERIE_DU_JOUR              4m38s      4m36s      -2s  ✅  Lévitique 6
07:18:03 BLOC_B_SERIE_DU_JOUR              5m30s      5m27s      -3s  ✅  Lévitique 7
07:23:30 BLOC_B_SERIE_DU_JOUR              5m25s      5m22s      -3s  ✅  Lévitique 8
07:28:52 BLOC_B_SERIE_DU_JOUR              3m36s      3m36s      +0s  ✅  Lévitique 9
07:32:28 BLOC_B_SERIE_DU_JOUR             29m09s      0m46s   -1703s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
07:33:14 BLOC_B_SERIE_DU_JOUR             29m09s      0m56s   -1693s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
07:34:10 BLOC_B_SERIE_DU_JOUR              2m59s     12m27s    +568s  ⚠️ TROU APRÈS  2 Timothee
07:46:37 BLOC_B_SERIE_DU_JOUR              2m12s      7m29s    +317s  ⚠️ TROU APRÈS  2 Thessaloniciens
07:54:06 BLOC_B_SERIE_DU_JOUR             29m09s      0m08s   -1741s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
07:54:14 BLOC_B_SERIE_DU_JOUR             29m09s      1m01s   -1688s  ❌ COUPÉ  aa la révélation de la victoire du fils mâle
07:55:15 BLOC_B_SERIE_DU_JOUR              1m51s     35m25s   +2014s  ⚠️ TROU APRÈS  Zacharie
08:30:40 BLOC_B_SERIE_DU_JOUR              3m57s     13m28s    +571s  ⚠️ TROU APRÈS  Apocalypse
