Rapport de diffusion — 2026-06-28 (heures UTC)
268 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:29 BLOC_A_SERIE_DU_JOUR              0m10s      1m49s     +99s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
00:03:18 BLOC_A_SERIE_DU_JOUR             37m39s     37m37s      -2s  ✅  aps la moisson 20220219 5
00:40:55 BLOC_A_SERIE_DU_JOUR              4m33s      4m30s      -3s  ✅  1 Pierre 1
00:45:25 BLOC_A_SERIE_DU_JOUR              4m17s      4m14s      -3s  ✅  1 Pierre 2
00:49:39 BLOC_A_SERIE_DU_JOUR              3m50s      3m47s      -3s  ✅  1 Pierre 3
00:53:26 BLOC_A_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  1 Pierre 4
00:56:37 BLOC_A_SERIE_DU_JOUR              2m15s      2m12s      -3s  ✅  1 Pierre 5
00:58:49 BLOC_A_SERIE_DU_JOUR              5m07s      5m05s      -2s  ✅  2 Rois 14
01:03:54 BLOC_A_SERIE_DU_JOUR              6m21s      6m19s      -2s  ✅  2 Rois 15
01:10:13 BLOC_A_SERIE_DU_JOUR              3m41s      3m38s      -3s  ✅  2 Rois 16
01:13:51 BLOC_A_SERIE_DU_JOUR              7m17s      7m15s      -2s  ✅  2 Rois 17
01:21:06 BLOC_A_SERIE_DU_JOUR              7m15s      7m12s      -3s  ✅  2 Rois 18
01:28:18 BLOC_A_SERIE_DU_JOUR              3m22s      3m20s      -2s  ✅  Ses cheveux étaient blancs..
01:31:38 BLOC_A_SERIE_DU_JOUR              5m43s      5m40s      -3s  ✅  Cantique l Éternel est mon Berger (1)
01:37:18 BLOC_A_SERIE_DU_JOUR              4m40s      4m37s      -3s  ✅  All in All - CHF
01:41:55 BLOC_A_SERIE_DU_JOUR              6m12s      6m15s      +3s  ✅  The King is Here (Abasiama Timothy)
01:48:10 BLOC_A_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  We Shall Come - Asaba Fellowship
01:53:14 BLOC_A_SERIE_DU_JOUR              4m30s      4m27s      -3s  ✅  Galates 4
01:57:41 BLOC_A_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Galates 5
02:01:43 BLOC_A_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Galates 6
02:04:26 BLOC_A_SERIE_DU_JOUR              3m42s      3m39s      -3s  ✅  2 Pierre 1
02:08:05 BLOC_A_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  2 Pierre 2
02:12:07 BLOC_A_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  2 Pierre 3
02:15:21 BLOC_A_SERIE_DU_JOUR              3m16s      3m13s      -3s  ✅  1 Timothée 1
02:18:34 BLOC_A_SERIE_DU_JOUR              2m10s      2m08s      -2s  ✅  1 Timothée 2
02:20:42 BLOC_A_SERIE_DU_JOUR              8m12s      8m09s      -3s  ✅  Jesus is Alpha - PHF
02:28:51 BLOC_A_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Sophonie 2
02:31:34 BLOC_A_SERIE_DU_JOUR              3m46s      3m44s      -2s  ✅  Sophonie 3
02:35:18 BLOC_A_SERIE_DU_JOUR              5m09s      5m07s      -2s  ✅  Lamentations 1
02:40:25 BLOC_A_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Lamentations 2
02:45:37 BLOC_A_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Lamentations 3
02:51:36 BLOC_A_SERIE_DU_JOUR              3m56s      3m54s      -2s  ✅  Lamentations 4
02:55:30 BLOC_A_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  Lamentations 5
02:57:47 BLOC_A_SERIE_DU_JOUR              6m00s      5m57s      -3s  ✅  Genèse 42
03:03:44 BLOC_A_SERIE_DU_JOUR              6m03s      6m01s      -2s  ✅  Genèse 43
03:09:45 BLOC_A_SERIE_DU_JOUR              5m18s      5m15s      -3s  ✅  Now is Come Salvation - Toronto HF
03:15:00 BLOC_A_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Satisfy My Soul - Calabar HF
03:21:00 BLOC_A_SERIE_DU_JOUR              7m40s      7m38s      -2s  ✅  Deutéronome 1
03:28:38 BLOC_A_SERIE_DU_JOUR              5m55s      5m52s      -3s  ✅  Deutéronome 2
03:34:30 BLOC_A_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  Deutéronome 3
03:39:34 BLOC_A_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Cantique sa miséricorde
03:42:55 BLOC_A_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  Yeshua I'm Waiting for You  - Ketu HF
03:47:41 BLOC_A_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Hymne des vainqueurs
03:53:48 BLOC_A_SERIE_DU_JOUR              9m39s      9m37s      -2s  ✅  Psalm 93 - Port Harcourt HF
04:03:25 BLOC_A_SERIE_DU_JOUR             10m35s     10m32s      -3s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
04:13:57 BLOC_A_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  I Enter The Holy of Holies - Port Harcourt HF
04:18:59 BLOC_A_SERIE_DU_JOUR              4m03s      4m01s      -2s  ✅  I Will Not Be Silent - Calabar HF
04:23:00 BLOC_A_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Yahweh Be Praised - Abuja HF
04:28:12 BLOC_A_SERIE_DU_JOUR              9m43s      9m41s      -2s  ✅  Thy Throne Oh Lord - Ketu HF
04:37:53 BLOC_A_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
04:44:00 BLOC_A_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Crown Him Lord of Lords - Nonso Njoku
04:49:59 BLOC_A_SERIE_DU_JOUR              7m18s      7m15s      -3s  ✅  Holy is the Lord (Emmanuel Umoh)
04:57:14 BLOC_A_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable
05:01:23 BLOC_A_SERIE_DU_JOUR              5m47s      5m45s      -2s  ✅  We Ascribe Greatness - Abuja HF
