Rapport de diffusion — 2026-06-29 (heures UTC)
173 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:19 BLOC_A_SERIE_DU_JOUR           1h26m45s   2h53m24s   +5199s  ⚠️ TROU APRÈS  aps la moisson 20220226 6
02:54:43 BLOC_A_SERIE_DU_JOUR              2m37s      2m35s      -2s  ✅  Michée 1
02:57:18 BLOC_A_SERIE_DU_JOUR              2m20s      2m18s      -2s  ✅  Michée 2
02:59:36 BLOC_A_SERIE_DU_JOUR              2m05s      2m02s      -3s  ✅  Michée 3
03:01:38 BLOC_A_SERIE_DU_JOUR              2m34s      2m32s      -2s  ✅  Michée 4
03:04:10 BLOC_A_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  Michée 5
03:06:27 BLOC_A_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Michée 6
03:09:01 BLOC_A_SERIE_DU_JOUR              3m27s      3m24s      -3s  ✅  Michée 7
03:12:25 BLOC_A_SERIE_DU_JOUR              4m27s      4m25s      -2s  ✅  Jude 1
03:16:50 BLOC_A_SERIE_DU_JOUR              8m24s      8m21s      -3s  ✅  Jean 6
03:25:11 BLOC_A_SERIE_DU_JOUR              6m07s      6m05s      -2s  ✅  Jean 7
03:31:16 BLOC_A_SERIE_DU_JOUR              7m26s      7m23s      -3s  ✅  Jean 8
03:38:39 BLOC_A_SERIE_DU_JOUR              4m54s      4m52s      -2s  ✅  Jean 9
03:43:31 BLOC_A_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Yahweh Be Praised - Abuja HF
03:48:43 BLOC_A_SERIE_DU_JOUR              5m40s      5m38s      -2s  ✅  Marc 1
03:54:21 BLOC_A_SERIE_DU_JOUR              4m21s      4m19s      -2s  ✅  Marc 2
03:58:40 BLOC_A_SERIE_DU_JOUR              4m15s      4m12s      -3s  ✅  Marc 3
04:02:52 BLOC_A_SERIE_DU_JOUR              5m27s      5m24s      -3s  ✅  Marc 4
04:08:16 BLOC_A_SERIE_DU_JOUR              5m38s      5m36s      -2s  ✅  Marc 5
04:13:52 BLOC_A_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  I Enter The Holy of Holies - Port Harcourt HF
04:18:54 BLOC_A_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Cantique sa miséricorde
04:22:15 BLOC_A_SERIE_DU_JOUR              3m22s      3m20s      -2s  ✅  Ses cheveux étaient blancs..
04:25:35 BLOC_A_SERIE_DU_JOUR              2m21s      2m18s      -3s  ✅  Nahum 1
04:27:53 BLOC_A_SERIE_DU_JOUR              2m04s      2m01s      -3s  ✅  Nahum 2
04:29:54 BLOC_A_SERIE_DU_JOUR              3m02s      3m00s      -2s  ✅  Nahum 3
04:32:54 BLOC_A_SERIE_DU_JOUR              5m26s      5m24s      -2s  ✅  2 Chroniques 35
04:38:18 BLOC_A_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  2 Chroniques 36
04:42:36 BLOC_A_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Galates 1
