Rapport de diffusion — 2026-07-03 (heures UTC)
312 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:22 BLOC_A_SERIE_DU_JOUR              0m10s      1m57s    +107s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
00:03:19 BLOC_A_SERIE_DU_JOUR             22m50s     22m55s      +5s  ✅  pqe j3
00:26:14 BLOC_A_SERIE_DU_JOUR              6m33s      6m30s      -3s  ✅  Luc 10
00:32:44 BLOC_A_SERIE_DU_JOUR              8m34s      8m31s      -3s  ✅  Luc 11
00:41:15 BLOC_A_SERIE_DU_JOUR              8m26s      8m23s      -3s  ✅  Luc 12
00:49:38 BLOC_A_SERIE_DU_JOUR              5m17s      5m15s      -2s  ✅  Luc 13
00:54:53 BLOC_A_SERIE_DU_JOUR              4m57s      4m55s      -2s  ✅  Luc 14
00:59:48 BLOC_A_SERIE_DU_JOUR              4m22s      4m20s      -2s  ✅  Luc 15
01:04:08 BLOC_A_SERIE_DU_JOUR              4m36s      4m33s      -3s  ✅  Luc 16
01:08:41 BLOC_A_SERIE_DU_JOUR              4m42s      4m39s      -3s  ✅  Luc 17
01:13:20 BLOC_A_SERIE_DU_JOUR              5m39s      5m36s      -3s  ✅  Luc 18
01:18:56 BLOC_A_SERIE_DU_JOUR              5m49s      5m52s      +3s  ✅  Luc 19
01:24:48 BLOC_A_SERIE_DU_JOUR              4m04s      4m01s      -3s  ✅  Ascribe Greatness - PHF
01:28:49 BLOC_A_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable
01:32:58 BLOC_A_SERIE_DU_JOUR              6m13s      6m11s      -2s  ✅  Immortal God - Elohim Adonai - Abuja HF
01:39:09 BLOC_A_SERIE_DU_JOUR              5m33s      5m29s      -4s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
01:44:38 BLOC_A_SERIE_DU_JOUR              5m50s      5m48s      -2s  ✅  Jesus I'm Waiting for You (Mary Umoh)
01:50:26 BLOC_A_SERIE_DU_JOUR              4m13s      4m10s      -3s  ✅  4 minutes
01:54:36 BLOC_A_SERIE_DU_JOUR              8m37s      8m35s      -2s  ✅  He Has Given Me & Emmanuel You Joy Over Us (Medley) (Abasiama Timothy & Imah Adegoke)
02:03:11 BLOC_A_SERIE_DU_JOUR              8m12s      8m09s      -3s  ✅  Jesus is Alpha - PHF
02:11:20 BLOC_A_SERIE_DU_JOUR              2m16s      2m14s      -2s  ✅  cantique  nous sommes le sel de la terre
02:13:34 BLOC_A_SERIE_DU_JOUR              7m36s      7m33s      -3s  ✅  There Is No Lie - SWBN TV
02:21:07 BLOC_A_SERIE_DU_JOUR              0m06s      0m06s      +0s  ✅  jingle avant bible 01 la foi vient de ce quon entend
02:21:13 BLOC_A_SERIE_DU_JOUR              3m00s      2m58s      -2s  ✅  Jonas 1
02:24:11 BLOC_A_SERIE_DU_JOUR              1m22s      1m19s      -3s  ✅  Jonas 2
