Rapport de diffusion — 2026-07-08 (heures UTC)
296 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:43 BLOC_A_SERIE_DU_JOUR              0m08s      1m44s     +96s  ⚠️ TROU APRÈS  jingle avant message 02 enseignement parole de dieu
00:03:27 BLOC_A_SERIE_DU_JOUR             25m04s     25m02s      -2s  ✅  pqe j8
00:28:29 BLOC_A_SERIE_DU_JOUR              0m07s      0m08s      +1s  ✅  jingle avant bible 02 voici la lecture de la bible
00:28:37 BLOC_A_SERIE_DU_JOUR              8m34s      8m32s      -2s  ✅  1 Corinthiens 15
00:37:09 BLOC_A_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  1 Corinthiens 16
00:40:14 BLOC_A_SERIE_DU_JOUR              4m35s      4m32s      -3s  ✅  Colossiens 1
00:44:46 BLOC_A_SERIE_DU_JOUR              3m46s      3m44s      -2s  ✅  Colossiens 2
00:48:30 BLOC_A_SERIE_DU_JOUR              3m44s      3m41s      -3s  ✅  Colossiens 3
00:52:11 BLOC_A_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Colossiens 4
00:55:04 BLOC_A_SERIE_DU_JOUR              1m37s      1m36s      -1s  ✅  Osée 14
00:56:40 BLOC_A_SERIE_DU_JOUR              1m49s      1m46s      -3s  ✅  1 Thessaloniciens 1
00:58:26 BLOC_A_SERIE_DU_JOUR              3m29s      3m27s      -2s  ✅  1 Thessaloniciens 2
01:01:53 BLOC_A_SERIE_DU_JOUR              2m13s      2m10s      -3s  ✅  1 Thessaloniciens 3
01:04:03 BLOC_A_SERIE_DU_JOUR              3m03s      3m00s      -3s  ✅  1 Thessaloniciens 4
01:07:03 BLOC_A_SERIE_DU_JOUR              3m04s      3m02s      -2s  ✅  1 Thessaloniciens 5
01:10:05 BLOC_A_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Galates 1
01:13:20 BLOC_A_SERIE_DU_JOUR              4m08s      4m05s      -3s  ✅  Galates 2
01:17:25 BLOC_A_SERIE_DU_JOUR              4m50s      4m48s      -2s  ✅  Galates 3
01:22:13 BLOC_A_SERIE_DU_JOUR              4m30s      4m27s      -3s  ✅  Galates 4
01:26:40 BLOC_A_SERIE_DU_JOUR              0m07s      0m08s      +1s  ✅  jingle avant louange 02 voici notre selection de cantiques
01:26:48 BLOC_A_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  cantique   prends tout le contrôle
01:31:38 BLOC_A_SERIE_DU_JOUR              8m22s      8m20s      -2s  ✅  Yeshua Hamashiach - Calabar HF
01:39:58 BLOC_A_SERIE_DU_JOUR              4m05s      4m03s      -2s  ✅  Song Of Victory - Emmanuel Igunbor
01:44:01 BLOC_A_SERIE_DU_JOUR              8m12s      8m09s      -3s  ✅  Jesus is Alpha - PHF
01:52:10 BLOC_A_SERIE_DU_JOUR             11m01s     10m59s      -2s  ✅  Great is, Ascribe - Ketu HF
02:03:09 BLOC_A_SERIE_DU_JOUR              2m16s      2m13s      -3s  ✅  cantique  nous sommes le sel de la terre
02:05:22 BLOC_A_SERIE_DU_JOUR              5m21s      5m18s      -3s  ✅  We Shall Not Fear - Nonso Njoku
02:10:40 BLOC_A_SERIE_DU_JOUR             10m24s     10m22s      -2s  ✅  Shine in Darkness O Lord  - Winnipeg Fellowship
