Rapport de diffusion — 2026-07-10 (heures UTC)
302 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:38 BLOC_A_SERIE_DU_JOUR              0m11s      1m52s    +101s  ⚠️ TROU APRÈS  jingle avant message 05 vous etes a lecoute de levangile du royaume
00:03:30 BLOC_A_SERIE_DU_JOUR             16m53s     16m51s      -2s  ✅  2-pqe c2
00:20:21 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
00:20:32 BLOC_A_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Malachie 1
00:23:23 BLOC_A_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Malachie 2
00:26:37 BLOC_A_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Malachie 3
00:29:56 BLOC_A_SERIE_DU_JOUR              1m05s      1m02s      -3s  ✅  Malachie 4
00:30:58 BLOC_A_SERIE_DU_JOUR              2m07s      2m05s      -2s  ✅  2 Jean 1
00:33:03 BLOC_A_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Hébreux 12
00:38:05 BLOC_A_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Hébreux 13
00:41:38 BLOC_A_SERIE_DU_JOUR              2m18s      2m16s      -2s  ✅  Néhémie 1
00:43:54 BLOC_A_SERIE_DU_JOUR              4m01s      3m59s      -2s  ✅  Néhémie 2
00:47:53 BLOC_A_SERIE_DU_JOUR              5m28s      5m25s      -3s  ✅  Néhémie 3
00:53:18 BLOC_A_SERIE_DU_JOUR              3m46s      3m43s      -3s  ✅  Néhémie 4
00:57:01 BLOC_A_SERIE_DU_JOUR              3m29s      3m26s      -3s  ✅  Néhémie 5
01:00:27 BLOC_A_SERIE_DU_JOUR              3m23s      3m21s      -2s  ✅  Néhémie 6
01:03:48 BLOC_A_SERIE_DU_JOUR              6m49s      6m47s      -2s  ✅  Néhémie 7
01:10:35 BLOC_A_SERIE_DU_JOUR              3m59s      3m56s      -3s  ✅  Néhémie 8
01:14:31 BLOC_A_SERIE_DU_JOUR              7m47s      7m44s      -3s  ✅  Néhémie 9
01:22:15 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
01:22:23 BLOC_A_SERIE_DU_JOUR              8m30s      8m28s      -2s  ✅  We Worship Adonai - PHF
01:30:51 BLOC_A_SERIE_DU_JOUR             10m25s     10m23s      -2s  ✅  Holy Are You - PHF
