Rapport de diffusion — 2026-07-14 (heures UTC)
317 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:39 BLOC_A_SERIE_DU_JOUR              0m09s      1m48s     +99s  ⚠️ TROU APRÈS  jingle avant message 03 vous ecoutez parole prophetique fm
00:03:27 BLOC_A_SERIE_DU_JOUR             13m20s     13m17s      -3s  ✅  2020 tian le pardon 4
00:16:44 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
00:16:55 BLOC_A_SERIE_DU_JOUR              2m43s      2m40s      -3s  ✅  Tite 1
00:19:35 BLOC_A_SERIE_DU_JOUR              2m10s      2m08s      -2s  ✅  Tite 2
00:21:43 BLOC_A_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Tite 3
00:24:02 BLOC_A_SERIE_DU_JOUR              2m39s      2m37s      -2s  ✅  Proverbes 29
00:26:39 BLOC_A_SERIE_DU_JOUR              3m27s      3m24s      -3s  ✅  Proverbes 30
00:30:03 BLOC_A_SERIE_DU_JOUR              2m34s      2m32s      -2s  ✅  Proverbes 31
00:32:35 BLOC_A_SERIE_DU_JOUR              2m05s      2m03s      -2s  ✅  3 Jean 1
00:34:38 BLOC_A_SERIE_DU_JOUR              3m34s      3m31s      -3s  ✅  Zacharie 1
00:38:09 BLOC_A_SERIE_DU_JOUR              1m51s      1m49s      -2s  ✅  Zacharie 2
00:39:58 BLOC_A_SERIE_DU_JOUR              1m46s      1m43s      -3s  ✅  Zacharie 3
00:41:41 BLOC_A_SERIE_DU_JOUR              2m06s      2m04s      -2s  ✅  Zacharie 4
00:43:45 BLOC_A_SERIE_DU_JOUR              1m38s      1m36s      -2s  ✅  Zacharie 5
00:45:21 BLOC_A_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Zacharie 6
