Rapport de diffusion — 2026-07-21 (heures UTC)
296 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:00:05 BLOC_C_SERIE_DU_JOUR              0m13s      5m17s    +304s  ⚠️ TROU APRÈS  jingle avant bible 07 place a la lecture de la bible
00:05:22 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  jingle id station 02 radio evangile du royaume
00:05:32 BLOC_A_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Job 1
00:09:11 BLOC_A_SERIE_DU_JOUR              2m07s      2m04s      -3s  ✅  Job 2
00:11:15 BLOC_A_SERIE_DU_JOUR              2m26s      2m23s      -3s  ✅  Job 3
00:13:38 BLOC_A_SERIE_DU_JOUR              2m05s      2m03s      -2s  ✅  Job 4
00:15:41 BLOC_A_SERIE_DU_JOUR              2m27s      2m24s      -3s  ✅  Job 5
00:18:05 BLOC_A_SERIE_DU_JOUR              2m57s      2m55s      -2s  ✅  Job 6
00:21:00 BLOC_A_SERIE_DU_JOUR              2m21s      2m19s      -2s  ✅  Job 7
00:23:19 BLOC_A_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Job 8
00:25:22 BLOC_A_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
00:25:32 BLOC_A_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  jai donné ma vie à jésus (1)
00:29:40 BLOC_A_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  You're the Lamb (Abasiama Timothy)
00:36:47 BLOC_A_SERIE_DU_JOUR             10m35s     10m32s      -3s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
00:47:19 BLOC_A_SERIE_DU_JOUR              2m57s      2m55s      -2s  ✅  You Are the Captain of the Host - Toronto HF
00:50:14 BLOC_A_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant message 03 vous ecoutez parole prophetique fm
00:50:21 BLOC_A_SERIE_DU_JOUR             13m48s     13m52s      +4s  ✅  2020 tian le pardon 8
01:04:13 BLOC_A_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Galates 1
01:07:28 BLOC_A_SERIE_DU_JOUR              4m08s      4m05s      -3s  ✅  Galates 2
01:11:33 BLOC_A_SERIE_DU_JOUR              4m50s      4m48s      -2s  ✅  Galates 3
01:16:21 BLOC_A_SERIE_DU_JOUR              4m30s      4m27s      -3s  ✅  Galates 4
01:20:48 BLOC_A_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Galates 5
01:24:50 BLOC_A_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Galates 6
01:27:33 BLOC_A_SERIE_DU_JOUR              1m40s      1m38s      -2s  ✅  1 Jean 1
01:29:11 BLOC_A_SERIE_DU_JOUR              4m39s      4m36s      -3s  ✅  1 Jean 2
01:33:47 BLOC_A_SERIE_DU_JOUR              3m34s      3m31s      -3s  ✅  1 Jean 3
01:37:18 BLOC_A_SERIE_DU_JOUR              3m16s      3m14s      -2s  ✅  1 Jean 4
01:40:32 BLOC_A_SERIE_DU_JOUR              3m11s      3m09s      -2s  ✅  1 Jean 5
01:43:41 BLOC_A_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Malachie 1
01:46:32 BLOC_A_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  Malachie 2
01:49:46 BLOC_A_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Malachie 3
01:53:05 BLOC_A_SERIE_DU_JOUR              1m05s      1m03s      -2s  ✅  Malachie 4
01:54:08 BLOC_A_SERIE_DU_JOUR              4m15s      4m13s      -2s  ✅  Philippiens 1
01:58:21 BLOC_A_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  Philippiens 2
02:02:46 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
02:02:56 BLOC_A_SERIE_DU_JOUR              6m56s      6m54s      -2s  ✅  As We Worship In Ypur Presence
02:09:50 BLOC_A_SERIE_DU_JOUR              8m30s      8m28s      -2s  ✅  We Worship Adonai - PHF
02:18:18 BLOC_A_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
02:23:08 BLOC_A_SERIE_DU_JOUR              5m02s      5m00s      -2s  ✅  A Song Of Love
02:28:08 BLOC_A_SERIE_DU_JOUR              6m57s      6m54s      -3s  ✅  The Lord on High is Mightier - Toronto HF
02:35:02 BLOC_A_SERIE_DU_JOUR              4m19s      4m16s      -3s  ✅  I Know The Blood - PHF
02:39:18 BLOC_A_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Ascribe Greatness - PHF
02:43:20 BLOC_A_SERIE_DU_JOUR              6m13s      6m10s      -3s  ✅  Immortal God - Elohim Adonai - Abuja HF
02:49:30 BLOC_A_SERIE_DU_JOUR              9m39s      9m37s      -2s  ✅  Psalm 93 - Port Harcourt HF
