====================================================================================================
MONITEUR RADIO — 2026-07-23 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 295 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:20  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:20  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:26  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:31:54  🌐 échec réseau AzuraCast/Liquidsoap  (×288)
RESET MINUIT : restart confirmé vers 00:02:02 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:32  TROU 106s « jingle avant message 01 voici le message du jour »
          ↳ cause probable 00:01:26 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:11  COUPÉ 192s « 15 at 01.33.50 (1)(1) »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-07-23 (heures UTC)
310 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:32 BLOC_A_SERIE_DU_JOUR              0m10s      1m56s    +106s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
00:03:28 BLOC_A_SERIE_DU_JOUR             13m15s     13m19s      +4s  ✅  wa0002 2
00:16:47 BLOC_A_SERIE_DU_JOUR              4m38s      4m35s      -3s  ✅  1 Samuel 1
00:21:22 BLOC_A_SERIE_DU_JOUR              6m23s      6m21s      -2s  ✅  1 Samuel 2
00:27:43 BLOC_A_SERIE_DU_JOUR              3m29s      3m26s      -3s  ✅  1 Samuel 3
00:31:09 BLOC_A_SERIE_DU_JOUR              4m01s      3m59s      -2s  ✅  1 Samuel 4
00:35:08 BLOC_A_SERIE_DU_JOUR              2m25s      2m22s      -3s  ✅  1 Samuel 5
00:37:30 BLOC_A_SERIE_DU_JOUR              4m09s      4m07s      -2s  ✅  1 Samuel 6
00:41:37 BLOC_A_SERIE_DU_JOUR              2m51s      2m48s      -3s  ✅  1 Samuel 7
00:44:25 BLOC_A_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  1 Samuel 8
00:47:10 BLOC_A_SERIE_DU_JOUR              5m18s      5m16s      -2s  ✅  1 Samuel 9
00:52:26 BLOC_A_SERIE_DU_JOUR              4m51s      4m48s      -3s  ✅  1 Samuel 10
00:57:14 BLOC_A_SERIE_DU_JOUR              2m50s      2m48s      -2s  ✅  1 Samuel 11
01:00:02 BLOC_A_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  1 Samuel 12
01:04:20 BLOC_A_SERIE_DU_JOUR              3m50s      3m49s      -1s  ✅  1 Samuel 13
