====================================================================================================
MONITEUR RADIO — 2026-07-24 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 214 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:20  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:25  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   17:59:19  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:29:57  🔇 bascule sur jingle d'erreur (silence potentiel)
   23:32:04  🌐 échec réseau AzuraCast/Liquidsoap  (×206)
RESET MINUIT : restart confirmé vers 00:02:04 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:30  TROU 101s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:25 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   18:10:02  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:38  COUPÉ 230s « Cantiques  Il a pris mes iniquités »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-07-24 (heures UTC)
314 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:30 BLOC_A_SERIE_DU_JOUR              0m10s      1m51s    +101s  ⚠️ TROU APRÈS  jingle avant message 04 bienvenue sur parole prophetique fm
00:03:21 BLOC_A_SERIE_DU_JOUR              9m45s      9m42s      -3s  ✅  amc tian combat spirituel 1
00:13:03 BLOC_A_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
00:13:10 BLOC_A_SERIE_DU_JOUR              7m02s      6m59s      -3s  ✅  Nombres 1
00:20:09 BLOC_A_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  Nombres 2
00:24:34 BLOC_A_SERIE_DU_JOUR              7m05s      7m02s      -3s  ✅  Nombres 3
00:31:36 BLOC_A_SERIE_DU_JOUR              7m36s      7m34s      -2s  ✅  Nombres 4
00:39:10 BLOC_A_SERIE_DU_JOUR              4m56s      4m53s      -3s  ✅  Nombres 5
00:44:03 BLOC_A_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Nombres 6
00:48:14 BLOC_A_SERIE_DU_JOUR             11m21s     11m19s      -2s  ✅  Nombres 7
00:59:33 BLOC_A_SERIE_DU_JOUR              3m59s      3m56s      -3s  ✅  Nombres 8
01:03:29 BLOC_A_SERIE_DU_JOUR              3m39s      3m37s      -2s  ✅  Nombres 9
01:07:06 BLOC_A_SERIE_DU_JOUR              4m51s      4m48s      -3s  ✅  Nombres 10
01:11:54 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
01:12:05 BLOC_A_SERIE_DU_JOUR              5m18s      5m15s      -3s  ✅  Now is Come Salvation - Toronto HF
01:17:20 BLOC_A_SERIE_DU_JOUR              3m10s      3m08s      -2s  ✅  la Parole
01:20:28 BLOC_A_SERIE_DU_JOUR              6m56s      6m53s      -3s  ✅  As We Worship In Ypur Presence
