====================================================================================================
MONITEUR RADIO — 2026-07-27 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 108 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:18  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:18  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:22  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:28  🌐 échec réseau AzuraCast/Liquidsoap  (×101)
RESET MINUIT : restart confirmé vers 00:02:00 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:28  TROU 99s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:22 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:56:48  COUPÉ 131s « There is no Lie (Imah Adegoke & Mary Umoh) »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-07-27 (heures UTC)
314 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:28 BLOC_A_SERIE_DU_JOUR              0m09s      1m48s     +99s  ⚠️ TROU APRÈS  jingle avant message 03 vous ecoutez parole prophetique fm
00:03:16 BLOC_A_SERIE_DU_JOUR              9m37s      9m43s      +6s  ✅  amc tian combat spirituel 4
00:12:59 BLOC_A_SERIE_DU_JOUR              2m22s      2m20s      -2s  ✅  Ésaïe 27
00:15:19 BLOC_A_SERIE_DU_JOUR              5m10s      5m07s      -3s  ✅  Ésaïe 28
00:20:26 BLOC_A_SERIE_DU_JOUR              4m23s      4m20s      -3s  ✅  Ésaïe 29
00:24:46 BLOC_A_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Ésaïe 30
00:30:46 BLOC_A_SERIE_DU_JOUR              2m03s      2m00s      -3s  ✅  Ésaïe 31
00:32:46 BLOC_A_SERIE_DU_JOUR              2m50s      2m47s      -3s  ✅  Ésaïe 32
00:35:33 BLOC_A_SERIE_DU_JOUR              4m09s      4m07s      -2s  ✅  Ésaïe 33
00:39:40 BLOC_A_SERIE_DU_JOUR              2m57s      2m54s      -3s  ✅  Ésaïe 34
00:42:34 BLOC_A_SERIE_DU_JOUR              1m58s      1m55s      -3s  ✅  Ésaïe 35
00:44:29 BLOC_A_SERIE_DU_JOUR              4m07s      4m05s      -2s  ✅  Ésaïe 36
00:48:34 BLOC_A_SERIE_DU_JOUR              7m01s      6m58s      -3s  ✅  Ésaïe 37
00:55:32 BLOC_A_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  Ésaïe 38
00:59:22 BLOC_A_SERIE_DU_JOUR              1m42s      1m40s      -2s  ✅  Ésaïe 39
01:01:02 BLOC_A_SERIE_DU_JOUR              5m12s      5m10s      -2s  ✅  Ésaïe 40
01:06:12 BLOC_A_SERIE_DU_JOUR              5m25s      5m23s      -2s  ✅  Ésaïe 41
01:11:35 BLOC_A_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
01:11:43 BLOC_A_SERIE_DU_JOUR              6m07s      6m05s      -2s  ✅  There Is Forgiveness In Thee - SWBN TV
01:17:48 BLOC_A_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
01:20:58 BLOC_A_SERIE_DU_JOUR              7m29s      7m26s      -3s  ✅  Hallelujah - PHF
01:28:24 BLOC_A_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Crown Him Lord of Lords - Nonso Njoku
01:34:24 BLOC_A_SERIE_DU_JOUR              5m48s      5m47s      -1s  ✅  Forever You Reign - Abuja HF
01:40:11 BLOC_A_SERIE_DU_JOUR              8m21s      8m17s      -4s  ✅  My Heart Rejoices - Toronto HF
01:48:28 BLOC_A_SERIE_DU_JOUR              6m30s      6m27s      -3s  ✅  Praise the Lord of Host - Toronto HF
01:54:55 BLOC_A_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  You're the Lamb (Abasiama Timothy)
02:02:02 BLOC_A_SERIE_DU_JOUR              5m33s      5m30s      -3s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
02:07:32 BLOC_A_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
02:13:39 BLOC_A_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
02:13:46 BLOC_A_SERIE_DU_JOUR              3m26s      3m23s      -3s  ✅  Abdias 1
02:17:09 BLOC_A_SERIE_DU_JOUR              5m20s      5m18s      -2s  ✅  Nombres 29
02:22:27 BLOC_A_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  Nombres 30
02:25:12 BLOC_A_SERIE_DU_JOUR              6m36s      6m32s      -4s  ✅  Nombres 31
02:31:44 BLOC_A_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Nombres 32
02:37:44 BLOC_A_SERIE_DU_JOUR              6m01s      5m58s      -3s  ✅  Nombres 33
02:43:42 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
02:43:53 BLOC_A_SERIE_DU_JOUR              7m21s      7m18s      -3s  ✅  For By My God - Toronto & Winnipeg HF
02:51:11 BLOC_A_SERIE_DU_JOUR              5m22s      5m19s      -3s  ✅  God's Got An Army - PHF
02:56:30 BLOC_A_SERIE_DU_JOUR              9m43s      9m41s      -2s  ✅  Thy Throne Oh Lord - Ketu HF
03:06:11 BLOC_A_SERIE_DU_JOUR              9m39s      9m36s      -3s  ✅  Psalm 93 - Port Harcourt HF
03:15:47 BLOC_A_SERIE_DU_JOUR              5m19s      5m17s      -2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
03:21:04 BLOC_A_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  In the Day of Your Power  - Winnipeg Fellowship
03:29:22 BLOC_A_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  We Shall Not Fear - Nonso Njoku
03:34:41 BLOC_A_SERIE_DU_JOUR              5m02s      5m00s      -2s  ✅  A Song Of Love
03:39:41 BLOC_A_SERIE_DU_JOUR              7m36s      7m33s      -3s  ✅  There Is No Lie - SWBN TV
03:47:14 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
03:47:24 BLOC_A_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  1 Pierre 1
03:51:55 BLOC_A_SERIE_DU_JOUR              4m17s      4m14s      -3s  ✅  1 Pierre 2
03:56:09 BLOC_A_SERIE_DU_JOUR              3m50s      3m47s      -3s  ✅  1 Pierre 3
03:59:56 BLOC_A_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  1 Pierre 4
04:03:07 BLOC_A_SERIE_DU_JOUR              2m15s      2m12s      -3s  ✅  1 Pierre 5
04:05:19 BLOC_A_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  Proverbes 24
