====================================================================================================
MONITEUR RADIO — 2026-08-02 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 75 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:27  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   05:59:59  🔇 bascule sur jingle d'erreur (silence potentiel)
   23:32:37  🌐 échec réseau AzuraCast/Liquidsoap  (×71)
RESET MINUIT : restart confirmé vers 00:02:04 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:33  TROU 93s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:27 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:54:44  COUPÉ 20s « For By My God - Toronto & Winnipeg HF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-02 (heures UTC)
252 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:33 BLOC_A_SERIE_DU_JOUR              0m10s      1m43s     +93s  ⚠️ TROU APRÈS  jingle avant message 04 bienvenue sur parole prophetique fm
00:03:16 BLOC_A_SERIE_DU_JOUR           1h19m00s   1h19m04s      +4s  ✅  part2
01:22:20 BLOC_A_SERIE_DU_JOUR              3m05s      3m03s      -2s  ✅  Jérémie 1
01:25:23 BLOC_A_SERIE_DU_JOUR              6m29s      6m26s      -3s  ✅  Jérémie 2
01:31:49 BLOC_A_SERIE_DU_JOUR              4m58s      4m55s      -3s  ✅  Jérémie 3
01:36:44 BLOC_A_SERIE_DU_JOUR              5m24s      5m22s      -2s  ✅  Jérémie 4
01:42:06 BLOC_A_SERIE_DU_JOUR              5m11s      5m08s      -3s  ✅  Jérémie 5
01:47:14 BLOC_A_SERIE_DU_JOUR              5m03s      5m00s      -3s  ✅  Jérémie 6
01:52:14 BLOC_A_SERIE_DU_JOUR              5m42s      5m40s      -2s  ✅  Jérémie 7
01:57:54 BLOC_A_SERIE_DU_JOUR              3m58s      3m55s      -3s  ✅  Jérémie 8
02:01:49 BLOC_A_SERIE_DU_JOUR              4m37s      4m35s      -2s  ✅  Jérémie 9
02:06:24 BLOC_A_SERIE_DU_JOUR              3m54s      4m00s      +6s  ✅  Jérémie 10
02:10:24 BLOC_A_SERIE_DU_JOUR              4m13s      4m11s      -2s  ✅  4 minutes
02:14:35 BLOC_A_SERIE_DU_JOUR              6m57s      6m54s      -3s  ✅  qui est digne d ouvrir le livre
02:21:29 BLOC_A_SERIE_DU_JOUR              5m52s      5m50s      -2s  ✅  Not Naked (Abasiama Timothy)
02:27:19 BLOC_A_SERIE_DU_JOUR              5m47s      5m45s      -2s  ✅  We Ascribe Greatness - Abuja HF
02:33:04 BLOC_A_SERIE_DU_JOUR              5m57s      5m54s      -3s  ✅  You are God - Winnipeg Fellowship
02:38:58 BLOC_A_SERIE_DU_JOUR              8m10s      8m07s      -3s  ✅  Agunechemba - SWBN TV
02:47:05 BLOC_A_SERIE_DU_JOUR              5m04s      5m03s      -1s  ✅  I Enter The Holy of Holies - Port Harcourt HF
02:52:08 BLOC_A_SERIE_DU_JOUR              4m33s      4m30s      -3s  ✅  God is Building - Will You Be - Ketu HF
02:56:38 BLOC_A_SERIE_DU_JOUR             11m54s     12m02s      +8s  ✅  Great & Marvelluos - Toronto HF
03:08:40 BLOC_A_SERIE_DU_JOUR              3m38s      3m35s      -3s  ✅  2 Corinthiens 7
03:12:15 BLOC_A_SERIE_DU_JOUR              4m06s      4m04s      -2s  ✅  2 Corinthiens 8
03:16:19 BLOC_A_SERIE_DU_JOUR              2m53s      2m51s      -2s  ✅  2 Corinthiens 9
03:19:10 BLOC_A_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  2 Corinthiens 10
03:22:31 BLOC_A_SERIE_DU_JOUR              5m26s      5m24s      -2s  ✅  2 Corinthiens 11
03:27:55 BLOC_A_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  2 Corinthiens 12
03:32:20 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
03:32:31 BLOC_A_SERIE_DU_JOUR              7m57s      7m55s      -2s  ✅  Yahweh is Mighty (Imah Adegoke)
03:40:26 BLOC_A_SERIE_DU_JOUR              5m19s      5m16s      -3s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
03:45:42 BLOC_A_SERIE_DU_JOUR             11m53s     11m51s      -2s  ✅  Hashem - PHF
03:57:33 BLOC_A_SERIE_DU_JOUR              6m28s      6m25s      -3s  ✅  Le Bien-Etre Universel
04:03:58 BLOC_A_SERIE_DU_JOUR              5m48s      5m45s      -3s  ✅  Forever You Reign - Abuja HF
04:09:43 BLOC_A_SERIE_DU_JOUR              6m54s      6m52s      -2s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
04:16:35 BLOC_A_SERIE_DU_JOUR              5m50s      5m47s      -3s  ✅  Jesus I'm Waiting for You (Mary Umoh)
04:22:22 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
04:22:30 BLOC_A_SERIE_DU_JOUR              1m40s      1m38s      -2s  ✅  1 Jean 1
04:24:08 BLOC_A_SERIE_DU_JOUR              4m39s      4m36s      -3s  ✅  1 Jean 2
04:28:44 BLOC_A_SERIE_DU_JOUR              3m34s      3m31s      -3s  ✅  1 Jean 3
04:32:15 BLOC_A_SERIE_DU_JOUR              3m16s      3m14s      -2s  ✅  1 Jean 4
04:35:29 BLOC_A_SERIE_DU_JOUR              3m11s      3m09s      -2s  ✅  1 Jean 5
04:38:38 BLOC_A_SERIE_DU_JOUR              3m39s      3m37s      -2s  ✅  Nombres 9
04:42:15 BLOC_A_SERIE_DU_JOUR              4m51s      4m48s      -3s  ✅  Nombres 10
04:47:03 BLOC_A_SERIE_DU_JOUR              6m10s      6m08s      -2s  ✅  Nombres 11
04:53:11 BLOC_A_SERIE_DU_JOUR              2m32s      2m29s      -3s  ✅  Nombres 12
04:55:40 BLOC_A_SERIE_DU_JOUR              4m23s      4m21s      -2s  ✅  Nombres 13
05:00:01 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
05:00:09 BLOC_A_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  cantique  ta bonte
05:06:13 BLOC_A_SERIE_DU_JOUR              5m21s      5m18s      -3s  ✅  We Shall Not Fear - Nonso Njoku
05:11:31 BLOC_A_SERIE_DU_JOUR              6m35s      6m32s      -3s  ✅  cantique   ta lumière
05:18:03 BLOC_A_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  Yeshua I'm Waiting for You  - Ketu HF
05:22:49 BLOC_A_SERIE_DU_JOUR              7m46s      7m44s      -2s  ✅  Arise Out of Zion  - Winnipeg Fellowship
