====================================================================================================
MONITEUR RADIO — 2026-08-04 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 32 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:21  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:26  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   17:59:49  🔇 bascule sur jingle d'erreur (silence potentiel)
   23:34:17  🌐 échec réseau AzuraCast/Liquidsoap  (×26)
RESET MINUIT : restart confirmé vers 00:02:03 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:32  TROU 100s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:26 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   19:02:25  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:09  COUPÉ 18s « All in All - CHF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-04 (heures UTC)
266 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:32 BLOC_A_SERIE_DU_JOUR              0m10s      1m50s    +100s  ⚠️ TROU APRÈS  jingle avant message 04 bienvenue sur parole prophetique fm
00:03:22 BLOC_A_SERIE_DU_JOUR           1h02m06s   1h02m03s      -3s  ✅  2
01:05:25 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
01:05:33 BLOC_A_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  Jérémie 11
01:09:42 BLOC_A_SERIE_DU_JOUR              3m15s      3m12s      -3s  ✅  Jérémie 12
01:12:54 BLOC_A_SERIE_DU_JOUR              4m35s      4m33s      -2s  ✅  Jérémie 13
01:17:27 BLOC_A_SERIE_DU_JOUR              4m22s      4m20s      -2s  ✅  Jérémie 14
01:21:47 BLOC_A_SERIE_DU_JOUR              4m05s      4m03s      -2s  ✅  Jérémie 15
01:25:50 BLOC_A_SERIE_DU_JOUR              4m07s      4m04s      -3s  ✅  Jérémie 16
01:29:54 BLOC_A_SERIE_DU_JOUR              4m58s      4m56s      -2s  ✅  Jérémie 17
01:34:50 BLOC_A_SERIE_DU_JOUR              3m54s      3m51s      -3s  ✅  Jérémie 18
01:38:41 BLOC_A_SERIE_DU_JOUR              3m01s      2m58s      -3s  ✅  Jérémie 19
01:41:39 BLOC_A_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Jérémie 20
01:45:03 BLOC_A_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Jérémie 21
01:47:54 BLOC_A_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Jérémie 22
01:52:56 BLOC_A_SERIE_DU_JOUR              6m49s      6m46s      -3s  ✅  Jérémie 23
01:59:42 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
01:59:52 BLOC_A_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
02:03:02 BLOC_A_SERIE_DU_JOUR              5m58s      5m55s      -3s  ✅  In Jesus - PHF
02:08:57 BLOC_A_SERIE_DU_JOUR              6m12s      6m11s      -1s  ✅  The King is Here (Abasiama Timothy)
02:15:08 BLOC_A_SERIE_DU_JOUR              5m15s      5m12s      -3s  ✅  Yahweh Be Praised - Abuja HF
02:20:20 BLOC_A_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Mon modèle, c est Jésus
02:24:31 BLOC_A_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  Awaken My Heart
02:27:47 BLOC_A_SERIE_DU_JOUR             10m25s     10m23s      -2s  ✅  Holy Are You - PHF
02:38:10 BLOC_A_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  There's A Mighty River Flowing - SWBN TV
02:42:28 BLOC_A_SERIE_DU_JOUR              5m18s      5m16s      -2s  ✅  Now is Come Salvation - Toronto HF
02:47:44 BLOC_A_SERIE_DU_JOUR              4m13s      4m10s      -3s  ✅  4 minutes
02:51:54 BLOC_A_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
02:52:01 BLOC_A_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Ruth 1
02:55:37 BLOC_A_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Ruth 2
02:59:48 BLOC_A_SERIE_DU_JOUR              3m00s      2m58s      -2s  ✅  Ruth 3
03:02:46 BLOC_A_SERIE_DU_JOUR              3m43s      3m40s      -3s  ✅  Ruth 4
03:06:26 BLOC_A_SERIE_DU_JOUR              6m04s      6m02s      -2s  ✅  Juges 19
03:12:28 BLOC_A_SERIE_DU_JOUR              7m49s      7m54s      +5s  ✅  Juges 20
03:20:22 BLOC_A_SERIE_DU_JOUR             11m01s     10m58s      -3s  ✅  Great is, Ascribe - Ketu HF
03:31:20 BLOC_A_SERIE_DU_JOUR             11m54s     11m52s      -2s  ✅  Great & Marvelluos - Toronto HF
