====================================================================================================
MONITEUR RADIO — 2026-08-10 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 147 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:29  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:29  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:37  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:22  🌐 échec réseau AzuraCast/Liquidsoap  (×140)
RESET MINUIT : restart confirmé vers 00:02:11 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:43  TROU 100s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:37 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-10 (heures UTC)
300 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:43 BLOC_A_SERIE_DU_JOUR              0m10s      1m50s    +100s  ⚠️ TROU APRÈS  jingle avant message 04 bienvenue sur parole prophetique fm
00:03:33 BLOC_A_SERIE_DU_JOUR             26m50s     26m49s      -1s  ✅  la moisson 1 adé
00:30:22 BLOC_A_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
00:30:28 BLOC_A_SERIE_DU_JOUR              4m20s      4m17s      -3s  ✅  Ézéchiel 46
00:34:45 BLOC_A_SERIE_DU_JOUR              4m08s      4m05s      -3s  ✅  Ézéchiel 47
00:38:50 BLOC_A_SERIE_DU_JOUR              5m23s      5m21s      -2s  ✅  Ézéchiel 48
00:44:11 BLOC_A_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Nombres 32
00:50:11 BLOC_A_SERIE_DU_JOUR              6m01s      5m58s      -3s  ✅  Nombres 33
00:56:09 BLOC_A_SERIE_DU_JOUR              3m28s      3m25s      -3s  ✅  Nombres 34
00:59:34 BLOC_A_SERIE_DU_JOUR              5m15s      5m13s      -2s  ✅  Nombres 35
01:04:47 BLOC_A_SERIE_DU_JOUR              2m23s      2m21s      -2s  ✅  Nombres 36
01:07:08 BLOC_A_SERIE_DU_JOUR              1m40s      1m37s      -3s  ✅  1 Jean 1
01:08:45 BLOC_A_SERIE_DU_JOUR              4m39s      4m36s      -3s  ✅  1 Jean 2
01:13:21 BLOC_A_SERIE_DU_JOUR              3m34s      3m32s      -2s  ✅  1 Jean 3
01:16:53 BLOC_A_SERIE_DU_JOUR              3m16s      3m15s      -1s  ✅  1 Jean 4
01:20:08 BLOC_A_SERIE_DU_JOUR              3m11s      3m08s      -3s  ✅  1 Jean 5
01:23:16 BLOC_A_SERIE_DU_JOUR              3m21s      3m18s      -3s  ✅  Exode 24
01:26:34 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
01:26:42 BLOC_A_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  Awaken My Heart
01:29:58 BLOC_A_SERIE_DU_JOUR              6m12s      6m09s      -3s  ✅  The King is Here (Abasiama Timothy)
01:36:07 BLOC_A_SERIE_DU_JOUR              8m10s      8m07s      -3s  ✅  Great and Marvellous - Ketu HF
01:44:14 BLOC_A_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  Good God - Asaba Fellowship
01:50:18 BLOC_A_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
01:53:57 BLOC_A_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  We Shall Come - Asaba Fellowship
01:59:01 BLOC_A_SERIE_DU_JOUR             10m47s     10m44s      -3s  ✅  Abba, Singing a, I Will Sing - Ketu HF
02:09:45 BLOC_A_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  We Shall Not Fear - Nonso Njoku
02:15:04 BLOC_A_SERIE_DU_JOUR              3m04s      3m01s      -3s  ✅  The Lord is my Light and Salvation - Nonso Njoku
02:18:05 BLOC_A_SERIE_DU_JOUR              4m13s      4m10s      -3s  ✅  4 minutes
02:22:15 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
02:22:23 BLOC_A_SERIE_DU_JOUR              3m42s      3m39s      -3s  ✅  2 Pierre 1
02:26:02 BLOC_A_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  2 Pierre 2
02:30:04 BLOC_A_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  2 Pierre 3
02:33:18 BLOC_A_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Ecclésiaste 5
02:36:33 BLOC_A_SERIE_DU_JOUR              1m50s      1m47s      -3s  ✅  Ecclésiaste 6
02:38:20 BLOC_A_SERIE_DU_JOUR              3m44s      3m41s      -3s  ✅  Ecclésiaste 7
02:42:01 BLOC_A_SERIE_DU_JOUR              2m51s      2m49s      -2s  ✅  Ecclésiaste 8
02:44:50 BLOC_A_SERIE_DU_JOUR              3m14s      3m11s      -3s  ✅  Ecclésiaste 9
02:48:01 BLOC_A_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  Ecclésiaste 10
02:50:28 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
02:50:39 BLOC_A_SERIE_DU_JOUR              8m10s      8m07s      -3s  ✅  Agunechemba - SWBN TV
02:58:46 BLOC_A_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  cantique   prends tout le contrôle
03:03:36 BLOC_A_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  Yeshua I'm Waiting for You  - Ketu HF
03:08:22 BLOC_A_SERIE_DU_JOUR              9m43s      9m40s      -3s  ✅  Thy Throne Oh Lord - Ketu HF
03:18:02 BLOC_A_SERIE_DU_JOUR              5m48s      5m46s      -2s  ✅  Forever You Reign - Abuja HF
03:23:48 BLOC_A_SERIE_DU_JOUR              9m31s      9m28s      -3s  ✅  15 at 01.33.50 (1)(1)
03:33:16 BLOC_A_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  My Heart Rejoices - Toronto HF
03:41:35 BLOC_A_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Crown Him Lord of Lords - Nonso Njoku
03:47:34 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
03:47:44 BLOC_A_SERIE_DU_JOUR              4m23s      4m21s      -2s  ✅  1 Samuel 28
03:52:05 BLOC_A_SERIE_DU_JOUR              2m02s      1m59s      -3s  ✅  1 Samuel 29
03:54:04 BLOC_A_SERIE_DU_JOUR              4m57s      4m54s      -3s  ✅  1 Samuel 30
03:58:58 BLOC_A_SERIE_DU_JOUR              2m02s      2m00s      -2s  ✅  1 Samuel 31
