====================================================================================================
MONITEUR RADIO — 2026-08-13 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 139 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:31  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:29:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:32  🌐 échec réseau AzuraCast/Liquidsoap  (×134)
RESET MINUIT : restart confirmé vers 00:02:07 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:37  TROU 144s « jingle avant message 01 voici le message du jour »
          ↳ cause probable 00:01:31 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:17  COUPÉ 58s « Holy is the Lord (Emmanuel Umoh) »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-13 (heures UTC)
310 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:37 BLOC_A_SERIE_DU_JOUR              0m10s      2m34s    +144s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
00:04:11 BLOC_A_SERIE_DU_JOUR             27m36s     27m33s      -3s  ✅  la moisson 4 adé
00:31:44 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
00:31:52 BLOC_A_SERIE_DU_JOUR              7m07s      7m04s      -3s  ✅  Luc 6
00:38:56 BLOC_A_SERIE_DU_JOUR              7m35s      7m32s      -3s  ✅  Luc 7
00:46:28 BLOC_A_SERIE_DU_JOUR              8m38s      8m36s      -2s  ✅  Luc 8
00:55:04 BLOC_A_SERIE_DU_JOUR              9m59s      9m56s      -3s  ✅  Luc 9
01:05:00 BLOC_A_SERIE_DU_JOUR              6m33s      6m30s      -3s  ✅  Luc 10
01:11:30 BLOC_A_SERIE_DU_JOUR              8m34s      8m32s      -2s  ✅  Luc 11
01:20:02 BLOC_A_SERIE_DU_JOUR              8m26s      8m23s      -3s  ✅  Luc 12
01:28:25 BLOC_A_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
01:28:33 BLOC_A_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  There is A Mighty River Flowing - Ketu HF
01:35:40 BLOC_A_SERIE_DU_JOUR              6m04s      6m01s      -3s  ✅  Sing Unto the Lord a new Song  - Winnipeg Fellowship
01:41:41 BLOC_A_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  cantique  ta bonte
01:47:45 BLOC_A_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Where Two or Three are Gathered - Calabar HF
01:53:34 BLOC_A_SERIE_DU_JOUR              4m03s      4m01s      -2s  ✅  I Will Not Be Silent - Calabar HF
01:57:35 BLOC_A_SERIE_DU_JOUR              4m18s      4m16s      -2s  ✅  You Are Worthy - Ketu HF
02:01:51 BLOC_A_SERIE_DU_JOUR              6m41s      6m38s      -3s  ✅  6 minutes
02:08:29 BLOC_A_SERIE_DU_JOUR              8m37s      8m35s      -2s  ✅  He Has Given Me & Emmanuel You Joy Over Us (Medley) (Abasiama Timothy & Imah Adegoke)
02:17:04 BLOC_A_SERIE_DU_JOUR              6m35s      6m32s      -3s  ✅  cantique   ta lumière
02:23:36 BLOC_A_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
02:23:43 BLOC_A_SERIE_DU_JOUR              4m33s      4m30s      -3s  ✅  1 Pierre 1
02:28:13 BLOC_A_SERIE_DU_JOUR              4m17s      4m14s      -3s  ✅  1 Pierre 2
02:32:27 BLOC_A_SERIE_DU_JOUR              3m50s      3m47s      -3s  ✅  1 Pierre 3
02:36:14 BLOC_A_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  1 Pierre 4
02:39:25 BLOC_A_SERIE_DU_JOUR              2m15s      2m13s      -2s  ✅  1 Pierre 5
02:41:38 BLOC_A_SERIE_DU_JOUR              4m34s      4m31s      -3s  ✅  Esdras 7
02:46:09 BLOC_A_SERIE_DU_JOUR              5m42s      5m40s      -2s  ✅  Esdras 8
02:51:49 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
02:51:59 BLOC_A_SERIE_DU_JOUR             10m24s     10m21s      -3s  ✅  Shine in Darkness O Lord  - Winnipeg Fellowship
03:02:20 BLOC_A_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Hymne des vainqueurs
03:08:27 BLOC_A_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  My Heart Rejoices - Toronto HF
03:16:46 BLOC_A_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  10 minutes
03:26:07 BLOC_A_SERIE_DU_JOUR              5m28s      5m25s      -3s  ✅  même humilié
03:31:32 BLOC_A_SERIE_DU_JOUR              7m18s      7m16s      -2s  ✅  Holy is the Lord (Emmanuel Umoh)
03:38:48 BLOC_A_SERIE_DU_JOUR              7m17s      7m14s      -3s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
03:46:02 BLOC_A_SERIE_DU_JOUR              9m31s      9m28s      -3s  ✅  15 at 01.33.50 (1)(1)
03:55:30 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
03:55:41 BLOC_A_SERIE_DU_JOUR              2m40s      2m37s      -3s  ✅  Habacuc 1
03:58:18 BLOC_A_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Habacuc 2
04:01:39 BLOC_A_SERIE_DU_JOUR              3m11s      3m09s      -2s  ✅  Habacuc 3
04:04:48 BLOC_A_SERIE_DU_JOUR              3m57s      3m54s      -3s  ✅  Jacques 1
04:08:42 BLOC_A_SERIE_DU_JOUR              3m51s      3m49s      -2s  ✅  Jacques 2
04:12:31 BLOC_A_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Jacques 3
04:15:24 BLOC_A_SERIE_DU_JOUR              2m47s      2m44s      -3s  ✅  Jacques 4
04:18:08 BLOC_A_SERIE_DU_JOUR              3m28s      3m25s      -3s  ✅  Jacques 5
04:21:33 BLOC_A_SERIE_DU_JOUR              4m02s      3m59s      -3s  ✅  Esther 1
04:25:32 BLOC_A_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Esther 2
04:30:14 BLOC_A_SERIE_DU_JOUR              3m17s      3m13s      -4s  ✅  Esther 3
04:33:27 BLOC_A_SERIE_DU_JOUR              2m55s      2m53s      -2s  ✅  Esther 4
04:36:20 BLOC_A_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Esther 5
04:39:03 BLOC_A_SERIE_DU_JOUR              0m10s      0m09s      -1s  ✅  jingle avant louange 06 que la louange seleve
04:39:12 BLOC_A_SERIE_DU_JOUR              6m54s      6m50s      -4s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
