====================================================================================================
MONITEUR RADIO — 2026-08-14 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 61 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:27  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:31  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   17:59:05  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:34  🌐 échec réseau AzuraCast/Liquidsoap  (×54)
RESET MINUIT : restart confirmé vers 00:02:08 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:37  TROU 93s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:31 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:58:03  COUPÉ 103s « Now is Come Salvation - Toronto HF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-14 (heures UTC)
316 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:37 BLOC_A_SERIE_DU_JOUR              0m10s      1m43s     +93s  ⚠️ TROU APRÈS  jingle avant message 04 bienvenue sur parole prophetique fm
00:03:20 BLOC_A_SERIE_DU_JOUR             24m49s     24m47s      -2s  ✅  la moisson 5 adé
00:28:07 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
00:28:15 BLOC_A_SERIE_DU_JOUR              5m48s      5m46s      -2s  ✅  Genèse 1
00:34:01 BLOC_A_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  Genèse 2
00:37:51 BLOC_A_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  Genèse 3
00:42:09 BLOC_A_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Genèse 4
00:46:27 BLOC_A_SERIE_DU_JOUR              3m33s      3m31s      -2s  ✅  Genèse 5
00:49:58 BLOC_A_SERIE_DU_JOUR              3m52s      3m50s      -2s  ✅  Genèse 6
00:53:48 BLOC_A_SERIE_DU_JOUR              3m31s      3m29s      -2s  ✅  Genèse 7
00:57:17 BLOC_A_SERIE_DU_JOUR              3m28s      3m25s      -3s  ✅  Genèse 8
01:00:42 BLOC_A_SERIE_DU_JOUR              4m09s      4m07s      -2s  ✅  Genèse 9
01:04:49 BLOC_A_SERIE_DU_JOUR              3m50s      3m47s      -3s  ✅  Genèse 10
01:08:36 BLOC_A_SERIE_DU_JOUR              4m14s      4m12s      -2s  ✅  Genèse 11
01:12:48 BLOC_A_SERIE_DU_JOUR              3m12s      3m09s      -3s  ✅  Genèse 12
01:15:57 BLOC_A_SERIE_DU_JOUR              2m50s      2m48s      -2s  ✅  Genèse 13
01:18:45 BLOC_A_SERIE_DU_JOUR              4m09s      4m06s      -3s  ✅  Genèse 14
01:22:51 BLOC_A_SERIE_DU_JOUR              3m26s      3m24s      -2s  ✅  Genèse 15
01:26:15 BLOC_A_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
01:26:23 BLOC_A_SERIE_DU_JOUR             11m54s     11m52s      -2s  ✅  Great & Marvelluos - Toronto HF
01:38:15 BLOC_A_SERIE_DU_JOUR              7m21s      7m18s      -3s  ✅  For By My God - Toronto & Winnipeg HF
01:45:33 BLOC_A_SERIE_DU_JOUR              4m53s      4m50s      -3s  ✅  Cantique Jahweh, Tu es élevé au dessus de tout (1)
01:50:23 BLOC_A_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Crown Him Lord of Lords - Nonso Njoku
01:56:22 BLOC_A_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  qui est digne d ouvrir le livre
02:03:17 BLOC_A_SERIE_DU_JOUR              9m24s      9m21s      -3s  ✅  I See Your Face - Toronto HF
02:12:38 BLOC_A_SERIE_DU_JOUR              7m51s      7m48s      -3s  ✅  There is no name  - Winnipeg Fellowship
02:20:26 BLOC_A_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
02:23:36 BLOC_A_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
02:23:43 BLOC_A_SERIE_DU_JOUR              2m15s      2m12s      -3s  ✅  Juges 17
02:25:55 BLOC_A_SERIE_DU_JOUR              5m44s      5m41s      -3s  ✅  Juges 18
02:31:36 BLOC_A_SERIE_DU_JOUR              6m04s      6m01s      -3s  ✅  Juges 19
02:37:37 BLOC_A_SERIE_DU_JOUR              7m49s      7m47s      -2s  ✅  Juges 20
02:45:24 BLOC_A_SERIE_DU_JOUR              4m02s      3m59s      -3s  ✅  Juges 21
02:49:23 BLOC_A_SERIE_DU_JOUR              2m12s      2m10s      -2s  ✅  2 Thessaloniciens 1
02:51:33 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant louange 07 voici un temps de louange
02:51:43 BLOC_A_SERIE_DU_JOUR              7m29s      7m27s      -2s  ✅  Hallelujah - PHF
02:59:10 BLOC_A_SERIE_DU_JOUR              7m04s      7m01s      -3s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
03:06:11 BLOC_A_SERIE_DU_JOUR              5m08s      5m05s      -3s  ✅  He Has Given Me - PHF
03:11:16 BLOC_A_SERIE_DU_JOUR              9m31s      9m29s      -2s  ✅  15 at 01.33.50 (1)(1)
03:20:45 BLOC_A_SERIE_DU_JOUR              7m09s      7m06s      -3s  ✅  You're the Lamb (Abasiama Timothy)
03:27:51 BLOC_A_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR -
03:31:30 BLOC_A_SERIE_DU_JOUR              5m58s      5m55s      -3s  ✅  In Jesus - PHF
03:37:25 BLOC_A_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  Thou art Worthy Lord - PHF
03:46:46 BLOC_A_SERIE_DU_JOUR              6m06s      6m03s      -3s  ✅  Good God - Asaba Fellowship
03:52:49 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
03:53:00 BLOC_A_SERIE_DU_JOUR              4m45s      4m42s      -3s  ✅  Romains 1
03:57:42 BLOC_A_SERIE_DU_JOUR              3m58s      3m56s      -2s  ✅  Romains 2
04:01:38 BLOC_A_SERIE_DU_JOUR              4m06s      4m03s      -3s  ✅  Romains 3
04:05:41 BLOC_A_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Romains 4
04:09:17 BLOC_A_SERIE_DU_JOUR              3m34s      3m32s      -2s  ✅  Romains 5
04:12:49 BLOC_A_SERIE_DU_JOUR              3m15s      3m13s      -2s  ✅  Romains 6
04:16:02 BLOC_A_SERIE_DU_JOUR              3m46s      3m43s      -3s  ✅  Romains 7
04:19:45 BLOC_A_SERIE_DU_JOUR              5m42s      5m40s      -2s  ✅  Romains 8
04:25:25 BLOC_A_SERIE_DU_JOUR              4m40s      4m37s      -3s  ✅  Romains 9
04:30:02 BLOC_A_SERIE_DU_JOUR              3m06s      3m04s      -2s  ✅  Romains 10
04:33:06 BLOC_A_SERIE_DU_JOUR              5m37s      5m34s      -3s  ✅  Romains 11
04:38:40 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
04:38:48 BLOC_A_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  God is Building - Will You Be - Ketu HF
04:43:19 BLOC_A_SERIE_DU_JOUR              4m14s      4m11s      -3s  ✅  Mon modèle, c est Jésus
04:47:30 BLOC_A_SERIE_DU_JOUR              6m54s      6m52s      -2s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
04:54:22 BLOC_A_SERIE_DU_JOUR              6m02s      5m59s      -3s  ✅  Rejoice - PHF
05:00:21 BLOC_A_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  Awaken My Heart
05:03:37 BLOC_A_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  My God Is Good - Winnipeg Fellowship
05:10:44 BLOC_A_SERIE_DU_JOUR             10m24s     10m22s      -2s  ✅  Shine in Darkness O Lord  - Winnipeg Fellowship
05:21:06 BLOC_A_SERIE_DU_JOUR              7m25s      7m22s      -3s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
05:28:28 BLOC_A_SERIE_DU_JOUR              9m23s      9m21s      -2s  ✅  10 minutes
05:37:49 BLOC_A_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
05:37:58 BLOC_A_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Sophonie 1
05:40:52 BLOC_A_SERIE_DU_JOUR              2m46s      2m43s      -3s  ✅  Sophonie 2
05:43:35 BLOC_A_SERIE_DU_JOUR              3m46s      3m44s      -2s  ✅  Sophonie 3
05:47:19 BLOC_A_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Joël 3
05:50:52 BLOC_A_SERIE_DU_JOUR              4m55s      4m53s      -2s  ✅  Ézéchiel 17
05:55:45 BLOC_A_SERIE_DU_JOUR              5m23s      5m21s      -2s  ✅  Ézéchiel 18
06:01:06 BLOC_B_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant message 03 vous ecoutez parole prophetique fm
06:01:12 BLOC_B_SERIE_DU_JOUR             24m49s     24m47s      -2s  ✅  la moisson 5 adé
06:25:59 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
06:26:10 BLOC_B_SERIE_DU_JOUR              4m30s      4m27s      -3s  ✅  Ésaïe 42
06:30:37 BLOC_B_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  Ésaïe 43
06:35:08 BLOC_B_SERIE_DU_JOUR              5m55s      5m52s      -3s  ✅  Ésaïe 44
06:41:00 BLOC_B_SERIE_DU_JOUR              5m11s      5m08s      -3s  ✅  Ésaïe 45
06:46:08 BLOC_B_SERIE_DU_JOUR              2m25s      2m22s      -3s  ✅  Ésaïe 46
06:48:30 BLOC_B_SERIE_DU_JOUR              3m04s      3m02s      -2s  ✅  Ésaïe 47
06:51:32 BLOC_B_SERIE_DU_JOUR              4m00s      3m58s      -2s  ✅  Ésaïe 48
06:55:30 BLOC_B_SERIE_DU_JOUR              5m13s      5m10s      -3s  ✅  Ésaïe 49
07:00:40 BLOC_B_SERIE_DU_JOUR              2m34s      2m32s      -2s  ✅  Ésaïe 50
07:03:12 BLOC_B_SERIE_DU_JOUR              4m41s      4m38s      -3s  ✅  Ésaïe 51
07:07:50 BLOC_B_SERIE_DU_JOUR              2m44s      2m42s      -2s  ✅  Ésaïe 52
07:10:32 BLOC_B_SERIE_DU_JOUR              2m31s      2m29s      -2s  ✅  Ésaïe 53
07:13:01 BLOC_B_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  Ésaïe 54
07:16:11 BLOC_B_SERIE_DU_JOUR              2m33s      2m30s      -3s  ✅  Ésaïe 55
07:18:41 BLOC_B_SERIE_DU_JOUR              2m24s      2m21s      -3s  ✅  Ésaïe 56
07:21:02 BLOC_B_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  Ésaïe 57
07:24:41 BLOC_B_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
07:24:49 BLOC_B_SERIE_DU_JOUR              8m41s      8m38s      -3s  ✅  Unto Him (Vincent Opara)
07:33:27 BLOC_B_SERIE_DU_JOUR              6m35s      6m33s      -2s  ✅  cantique   ta lumière
07:40:00 BLOC_B_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  How Precious Oh Lord
07:45:42 BLOC_B_SERIE_DU_JOUR              8m24s      8m22s      -2s  ✅  Bless Ye the Lord - PHF
07:54:04 BLOC_B_SERIE_DU_JOUR              5m52s      5m49s      -3s  ✅  Not Naked (Abasiama Timothy)
07:59:53 BLOC_B_SERIE_DU_JOUR              5m28s      5m26s      -2s  ✅  même humilié
08:05:19 BLOC_B_SERIE_DU_JOUR              4m08s      4m05s      -3s  ✅  I Choose the Way of the Lord - Abuja HF
08:09:24 BLOC_B_SERIE_DU_JOUR              3m10s      3m07s      -3s  ✅  la Parole
08:12:31 BLOC_B_SERIE_DU_JOUR              7m46s      7m45s      -1s  ✅  Arise Out of Zion  - Winnipeg Fellowship
08:20:16 BLOC_B_SERIE_DU_JOUR              4m11s      4m13s      +2s  ✅  jai donné ma vie à jésus (1)
08:24:29 BLOC_B_SERIE_DU_JOUR              3m59s      3m57s      -2s  ✅  Nombres 8
08:28:26 BLOC_B_SERIE_DU_JOUR              3m39s      3m37s      -2s  ✅  Nombres 9
08:32:03 BLOC_B_SERIE_DU_JOUR              4m51s      4m48s      -3s  ✅  Nombres 10
08:36:51 BLOC_B_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  Nombres 11
08:42:58 BLOC_B_SERIE_DU_JOUR              2m32s      2m30s      -2s  ✅  Nombres 12
08:45:28 BLOC_B_SERIE_DU_JOUR              4m23s      4m21s      -2s  ✅  Nombres 13
08:49:49 BLOC_B_SERIE_DU_JOUR              6m43s      6m40s      -3s  ✅  Nombres 14
08:56:29 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
08:56:40 BLOC_B_SERIE_DU_JOUR              8m37s      8m35s      -2s  ✅  He Has Given Me & Emmanuel You Joy Over Us (Medley) (Abasiama Timothy & Imah Adegoke)
09:05:15 BLOC_B_SERIE_DU_JOUR              5m48s      5m45s      -3s  ✅  Forever You Reign - Abuja HF
09:11:00 BLOC_B_SERIE_DU_JOUR             11m01s     10m59s      -2s  ✅  Great is, Ascribe - Ketu HF
09:21:59 BLOC_B_SERIE_DU_JOUR              6m12s      6m09s      -3s  ✅  The King is Here (Abasiama Timothy)
09:28:08 BLOC_B_SERIE_DU_JOUR              7m09s      7m07s      -2s  ✅  There is A Mighty River Flowing - Ketu HF
09:35:15 BLOC_B_SERIE_DU_JOUR              7m19s      7m16s      -3s  ✅  You Have sworn By Your Holiness - Chidera Bisong
09:42:31 BLOC_B_SERIE_DU_JOUR              5m22s      5m19s      -3s  ✅  God's Got An Army - PHF
09:47:50 BLOC_B_SERIE_DU_JOUR              8m18s      8m24s      +6s  ✅  Yahweh Is Mighty - SWBN TV
09:56:14 BLOC_B_SERIE_DU_JOUR              2m43s      2m40s      -3s  ✅  Tite 1
09:58:54 BLOC_B_SERIE_DU_JOUR              2m10s      2m08s      -2s  ✅  Tite 2
10:01:02 BLOC_B_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Tite 3
10:03:21 BLOC_B_SERIE_DU_JOUR              2m21s      2m19s      -2s  ✅  Nahum 1
10:05:40 BLOC_B_SERIE_DU_JOUR              2m04s      2m01s      -3s  ✅  Nahum 2
10:07:41 BLOC_B_SERIE_DU_JOUR              3m02s      3m00s      -2s  ✅  Nahum 3
10:10:41 BLOC_B_SERIE_DU_JOUR              5m55s      5m53s      -2s  ✅  Lévitique 16
10:16:34 BLOC_B_SERIE_DU_JOUR              2m44s      2m41s      -3s  ✅  Lévitique 17
10:19:15 BLOC_B_SERIE_DU_JOUR              3m54s      3m52s      -2s  ✅  Lévitique 18
10:23:07 BLOC_B_SERIE_DU_JOUR              5m37s      5m33s      -4s  ✅  Lévitique 19
10:28:40 BLOC_B_SERIE_DU_JOUR              4m35s      4m32s      -3s  ✅  Lévitique 20
10:33:12 BLOC_B_SERIE_DU_JOUR              3m25s      3m23s      -2s  ✅  Lévitique 21
10:36:35 BLOC_B_SERIE_DU_JOUR              5m06s      5m03s      -3s  ✅  Lévitique 22
10:41:38 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
10:41:46 BLOC_B_SERIE_DU_JOUR              6m57s      6m54s      -3s  ✅  The Lord on High is Mightier - Toronto HF
10:48:40 BLOC_B_SERIE_DU_JOUR             10m25s     10m23s      -2s  ✅  Holy Are You - PHF
10:59:03 BLOC_B_SERIE_DU_JOUR              7m18s      7m16s      -2s  ✅  Holy is the Lord (Emmanuel Umoh)
11:06:19 BLOC_B_SERIE_DU_JOUR              7m20s      7m17s      -3s  ✅  The Glory -  PHF
11:13:36 BLOC_B_SERIE_DU_JOUR              6m04s      6m02s      -2s  ✅  Sing Unto the Lord a new Song  - Winnipeg Fellowship
11:19:38 BLOC_B_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
11:23:56 BLOC_B_SERIE_DU_JOUR              6m28s      6m26s      -2s  ✅  Le Bien-Etre Universel
11:30:22 BLOC_B_SERIE_DU_JOUR              4m52s      4m50s      -2s  ✅  God is Moving Us On - Ketu HF
11:35:12 BLOC_B_SERIE_DU_JOUR              5m47s      5m44s      -3s  ✅  We Ascribe Greatness - Abuja HF
11:40:56 BLOC_B_SERIE_DU_JOUR              0m09s      0m10s      +1s  ✅  JINGLE
11:41:06 BLOC_B_SERIE_DU_JOUR              3m27s      3m25s      -2s  ✅  Matthieu 1
11:44:31 BLOC_B_SERIE_DU_JOUR              3m40s      3m38s      -2s  ✅  Matthieu 2
11:48:09 BLOC_B_SERIE_DU_JOUR              2m25s      2m22s      -3s  ✅  Matthieu 3
11:50:31 BLOC_B_SERIE_DU_JOUR              3m18s      3m16s      -2s  ✅  Matthieu 4
11:53:47 BLOC_B_SERIE_DU_JOUR              6m28s      6m26s      -2s  ✅  Matthieu 5
12:00:13 BLOC_C_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant message 04 bienvenue sur parole prophetique fm
12:00:20 BLOC_C_SERIE_DU_JOUR             24m49s     24m48s      -1s  ✅  la moisson 5 adé
12:25:08 BLOC_C_SERIE_DU_JOUR              0m13s      0m09s      -4s  ✅  jingle avant bible 07 place a la lecture de la bible
12:25:17 BLOC_C_SERIE_DU_JOUR              4m33s      4m30s      -3s  ✅  1 Pierre 1
12:29:47 BLOC_C_SERIE_DU_JOUR              4m17s      4m15s      -2s  ✅  1 Pierre 2
12:34:02 BLOC_C_SERIE_DU_JOUR              3m50s      3m46s      -4s  ✅  1 Pierre 3
12:37:48 BLOC_C_SERIE_DU_JOUR              3m13s      3m11s      -2s  ✅  1 Pierre 4
12:40:59 BLOC_C_SERIE_DU_JOUR              2m15s      2m13s      -2s  ✅  1 Pierre 5
12:43:12 BLOC_C_SERIE_DU_JOUR              5m26s      5m24s      -2s  ✅  Marc 8
12:48:36 BLOC_C_SERIE_DU_JOUR              6m45s      6m42s      -3s  ✅  Marc 9
12:55:18 BLOC_C_SERIE_DU_JOUR              7m16s      7m14s      -2s  ✅  Marc 10
13:02:32 BLOC_C_SERIE_DU_JOUR              4m42s      4m39s      -3s  ✅  Marc 11
13:07:11 BLOC_C_SERIE_DU_JOUR              7m12s      7m10s      -2s  ✅  Marc 12
13:14:21 BLOC_C_SERIE_DU_JOUR              5m09s      5m07s      -2s  ✅  Marc 13
13:19:28 BLOC_C_SERIE_DU_JOUR             10m25s     10m22s      -3s  ✅  Marc 14
13:29:50 BLOC_C_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
13:29:58 BLOC_C_SERIE_DU_JOUR              6m12s      6m10s      -2s  ✅  Praise the Lord All Ye Nations - Toronto HF
13:36:08 BLOC_C_SERIE_DU_JOUR              5m52s      5m48s      -4s  ✅  Where Two or Three are Gathered - Calabar HF
13:41:56 BLOC_C_SERIE_DU_JOUR              2m16s      2m14s      -2s  ✅  cantique  nous sommes le sel de la terre
13:44:10 BLOC_C_SERIE_DU_JOUR              5m33s      5m30s      -3s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
13:49:40 BLOC_C_SERIE_DU_JOUR              3m22s      3m19s      -3s  ✅  Ses cheveux étaient blancs..
13:52:59 BLOC_C_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  I Enter The Holy of Holies - Port Harcourt HF
13:58:01 BLOC_C_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Ascribe Greatness - PHF
14:02:03 BLOC_C_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Hymne des vainqueurs
14:08:10 BLOC_C_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  In the Day of Your Power  - Winnipeg Fellowship
14:16:28 BLOC_C_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  Unto Him - CHF
14:22:45 BLOC_C_SERIE_DU_JOUR              3m24s      3m21s      -3s  ✅  Cantique sa miséricorde
14:26:06 BLOC_C_SERIE_DU_JOUR              0m09s      0m07s      -2s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
14:26:13 BLOC_C_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Michée 1
14:28:47 BLOC_C_SERIE_DU_JOUR              2m20s      2m18s      -2s  ✅  Michée 2
14:31:05 BLOC_C_SERIE_DU_JOUR              2m05s      2m02s      -3s  ✅  Michée 3
14:33:07 BLOC_C_SERIE_DU_JOUR              2m34s      2m32s      -2s  ✅  Michée 4
14:35:39 BLOC_C_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  Michée 5
14:37:56 BLOC_C_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Michée 6
14:40:30 BLOC_C_SERIE_DU_JOUR              3m27s      3m24s      -3s  ✅  Michée 7
14:43:54 BLOC_C_SERIE_DU_JOUR              2m25s      2m23s      -2s  ✅  Cantique des Cantiques 1
14:46:17 BLOC_C_SERIE_DU_JOUR              2m32s      2m30s      -2s  ✅  Cantique des Cantiques 2
14:48:47 BLOC_C_SERIE_DU_JOUR              1m53s      1m50s      -3s  ✅  Cantique des Cantiques 3
14:50:37 BLOC_C_SERIE_DU_JOUR              2m50s      2m48s      -2s  ✅  Cantique des Cantiques 4
14:53:25 BLOC_C_SERIE_DU_JOUR              2m54s      2m51s      -3s  ✅  Cantique des Cantiques 5
14:56:16 BLOC_C_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
14:56:25 BLOC_C_SERIE_DU_JOUR              9m43s      9m40s      -3s  ✅  Thy Throne Oh Lord - Ketu HF
15:06:05 BLOC_C_SERIE_DU_JOUR              5m21s      5m18s      -3s  ✅  We Shall Not Fear - Nonso Njoku
15:11:23 BLOC_C_SERIE_DU_JOUR              4m48s      4m46s      -2s  ✅  Yeshua I'm Waiting for You  - Ketu HF
15:16:09 BLOC_C_SERIE_DU_JOUR              8m58s      8m55s      -3s  ✅  El Elyon - Toronto & Winnipeg HF
15:25:04 BLOC_C_SERIE_DU_JOUR              6m13s      6m11s      -2s  ✅  Immortal God - Elohim Adonai - Abuja HF
15:31:15 BLOC_C_SERIE_DU_JOUR              8m25s      8m22s      -3s  ✅  The Mountains, Come and, Oh City - Ketu HF
15:39:37 BLOC_C_SERIE_DU_JOUR              8m31s      8m29s      -2s  ✅  Holy Holy - Abuja HF
15:48:06 BLOC_C_SERIE_DU_JOUR              6m10s      6m07s      -3s  ✅  That I May Know Him - Toronto HF
15:54:13 BLOC_C_SERIE_DU_JOUR              0m10s      0m07s      -3s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
15:54:20 BLOC_C_SERIE_DU_JOUR              2m44s      2m42s      -2s  ✅  Esther 6
15:57:02 BLOC_C_SERIE_DU_JOUR              2m17s      2m15s      -2s  ✅  Esther 7
15:59:17 BLOC_C_SERIE_DU_JOUR              3m44s      3m41s      -3s  ✅  Esther 8
16:02:58 BLOC_C_SERIE_DU_JOUR              5m31s      5m29s      -2s  ✅  Esther 9
16:08:27 BLOC_C_SERIE_DU_JOUR              0m33s      0m30s      -3s  ✅  Esther 10
16:08:57 BLOC_C_SERIE_DU_JOUR              5m17s      5m15s      -2s  ✅  Luc 13
16:14:12 BLOC_C_SERIE_DU_JOUR              4m57s      4m56s      -1s  ✅  Luc 14
16:19:08 BLOC_C_SERIE_DU_JOUR              4m22s      4m19s      -3s  ✅  Luc 15
16:23:27 BLOC_C_SERIE_DU_JOUR              4m36s      4m33s      -3s  ✅  Luc 16
