====================================================================================================
MONITEUR RADIO — 2026-08-18 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 262 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:18  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:31:59  🌐 échec réseau AzuraCast/Liquidsoap  (×257)
RESET MINUIT : restart confirmé vers 00:02:00 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:29  TROU 92s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:23 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:55:21  COUPÉ 54s « Hosanna - Toronto HF »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-18 (heures UTC)
264 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:29 BLOC_A_SERIE_DU_JOUR              0m09s      1m41s     +92s  ⚠️ TROU APRÈS  jingle avant message 03 vous ecoutez parole prophetique fm
00:03:10 BLOC_A_SERIE_DU_JOUR           1h13m29s   1h13m27s      -2s  ✅  nous faire part 4
01:16:37 BLOC_A_SERIE_DU_JOUR              0m09s      0m06s      -3s  ✅  jingle avant bible 08 prenons un moment pour ecouter la parole
01:16:43 BLOC_A_SERIE_DU_JOUR              2m40s      2m38s      -2s  ✅  Amos 1
01:19:21 BLOC_A_SERIE_DU_JOUR              2m30s      2m28s      -2s  ✅  Amos 2
01:21:49 BLOC_A_SERIE_DU_JOUR              2m19s      2m16s      -3s  ✅  Amos 3
01:24:05 BLOC_A_SERIE_DU_JOUR              2m44s      2m41s      -3s  ✅  Amos 4
01:26:46 BLOC_A_SERIE_DU_JOUR              4m01s      3m59s      -2s  ✅  Amos 5
01:30:45 BLOC_A_SERIE_DU_JOUR              2m22s      2m19s      -3s  ✅  Amos 6
01:33:04 BLOC_A_SERIE_DU_JOUR              3m05s      3m03s      -2s  ✅  Amos 7
01:36:07 BLOC_A_SERIE_DU_JOUR              2m30s      2m27s      -3s  ✅  Amos 8
01:38:34 BLOC_A_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Amos 9
01:41:28 BLOC_A_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  1 Timothée 2
01:43:35 BLOC_A_SERIE_DU_JOUR              2m24s      2m22s      -2s  ✅  1 Timothée 3
01:45:57 BLOC_A_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  1 Timothée 4
01:48:24 BLOC_A_SERIE_DU_JOUR              3m45s      3m42s      -3s  ✅  1 Timothée 5
01:52:06 BLOC_A_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  1 Timothée 6
01:55:56 BLOC_A_SERIE_DU_JOUR              2m53s      2m51s      -2s  ✅  Zacharie 11
01:58:47 BLOC_A_SERIE_DU_JOUR              2m38s      2m35s      -3s  ✅  Zacharie 12
02:01:22 BLOC_A_SERIE_DU_JOUR              1m43s      1m41s      -2s  ✅  Zacharie 13
02:03:03 BLOC_A_SERIE_DU_JOUR              4m06s      4m04s      -2s  ✅  Zacharie 14
02:07:07 BLOC_A_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
02:07:15 BLOC_A_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  cantique  ta bonte
02:13:19 BLOC_A_SERIE_DU_JOUR              8m12s      8m09s      -3s  ✅  Jesus is Alpha - PHF
02:21:28 BLOC_A_SERIE_DU_JOUR              4m44s      4m42s      -2s  ✅  Je veux vivre ton royaume
02:26:10 BLOC_A_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Hymne des vainqueurs
02:32:17 BLOC_A_SERIE_DU_JOUR              3m04s      3m01s      -3s  ✅  The Lord is my Light and Salvation - Nonso Njoku
02:35:18 BLOC_A_SERIE_DU_JOUR              5m10s      5m08s      -2s  ✅  Igwe
02:40:26 BLOC_A_SERIE_DU_JOUR              3m19s      3m16s      -3s  ✅  Awaken My Heart
02:43:42 BLOC_A_SERIE_DU_JOUR              5m21s      5m18s      -3s  ✅  We Shall Not Fear - Nonso Njoku
02:49:00 BLOC_A_SERIE_DU_JOUR             10m47s     10m45s      -2s  ✅  Abba, Singing a, I Will Sing - Ketu HF
02:59:45 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
02:59:55 BLOC_A_SERIE_DU_JOUR              4m27s      4m24s      -3s  ✅  Jude 1
