====================================================================================================
MONITEUR RADIO — 2026-08-19 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 252 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:15  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:20  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:23  🌐 échec réseau AzuraCast/Liquidsoap  (×247)
RESET MINUIT : restart confirmé vers 00:01:57 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:26  TROU 93s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:20 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:59:04  COUPÉ 46s « la Parole »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-19 (heures UTC)
255 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:26 BLOC_A_SERIE_DU_JOUR              0m10s      1m43s     +93s  ⚠️ TROU APRÈS  jingle avant message 04 bienvenue sur parole prophetique fm
00:03:09 BLOC_A_SERIE_DU_JOUR           1h12m47s   1h12m52s      +5s  ✅  nous faire part 5
01:16:01 BLOC_A_SERIE_DU_JOUR              3m57s      3m54s      -3s  ✅  Jacques 1
01:19:55 BLOC_A_SERIE_DU_JOUR              3m51s      3m49s      -2s  ✅  Jacques 2
01:23:44 BLOC_A_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Jacques 3
01:26:37 BLOC_A_SERIE_DU_JOUR              2m47s      2m44s      -3s  ✅  Jacques 4
01:29:21 BLOC_A_SERIE_DU_JOUR              3m28s      3m25s      -3s  ✅  Jacques 5
01:32:46 BLOC_A_SERIE_DU_JOUR              3m16s      3m13s      -3s  ✅  1 Timothée 1
01:35:59 BLOC_A_SERIE_DU_JOUR              2m10s      2m07s      -3s  ✅  1 Timothée 2
01:38:06 BLOC_A_SERIE_DU_JOUR              2m24s      2m22s      -2s  ✅  1 Timothée 3
01:40:28 BLOC_A_SERIE_DU_JOUR              2m29s      2m27s      -2s  ✅  1 Timothée 4
01:42:55 BLOC_A_SERIE_DU_JOUR              3m45s      3m42s      -3s  ✅  1 Timothée 5
01:46:37 BLOC_A_SERIE_DU_JOUR              3m53s      3m50s      -3s  ✅  1 Timothée 6
01:50:27 BLOC_A_SERIE_DU_JOUR              2m05s      2m03s      -2s  ✅  3 Jean 1
01:52:30 BLOC_A_SERIE_DU_JOUR              3m42s      3m39s      -3s  ✅  2 Pierre 1
