====================================================================================================
MONITEUR RADIO — 2026-08-23 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 21 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:28  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   23:32:26  🌐 échec réseau AzuraCast/Liquidsoap  (×17)
   23:59:57  🔇 bascule sur jingle d'erreur (silence potentiel)
RESET MINUIT : restart confirmé vers 00:02:05 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:34  TROU 130s « jingle avant message 05 vous etes a lecoute de levangile du royaume »
          ↳ cause probable 00:01:28 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-23 (heures UTC)
258 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:34 BLOC_A_SERIE_DU_JOUR              0m11s      2m21s    +130s  ⚠️ TROU APRÈS  jingle avant message 05 vous etes a lecoute de levangile du royaume
00:03:55 BLOC_A_SERIE_DU_JOUR           1h20m11s   1h20m08s      -3s  ✅  aps la moisson 20220219 4
01:24:03 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
01:24:13 BLOC_A_SERIE_DU_JOUR              6m45s      6m43s      -2s  ✅  Marc 9
01:30:56 BLOC_A_SERIE_DU_JOUR              7m16s      7m14s      -2s  ✅  Marc 10
01:38:10 BLOC_A_SERIE_DU_JOUR              4m42s      4m39s      -3s  ✅  Marc 11
01:42:49 BLOC_A_SERIE_DU_JOUR              7m12s      7m10s      -2s  ✅  Marc 12
01:49:59 BLOC_A_SERIE_DU_JOUR              5m09s      5m07s      -2s  ✅  Marc 13
01:55:06 BLOC_A_SERIE_DU_JOUR             10m25s     10m22s      -3s  ✅  Marc 14
02:05:28 BLOC_A_SERIE_DU_JOUR              5m51s      5m49s      -2s  ✅  Marc 15
02:11:17 BLOC_A_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
02:11:25 BLOC_A_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  I Enter The Holy of Holies - Port Harcourt HF
02:16:27 BLOC_A_SERIE_DU_JOUR              7m04s      7m01s      -3s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
02:23:28 BLOC_A_SERIE_DU_JOUR              5m45s      5m43s      -2s  ✅  Ella Samuels - Oh Lord Our Maker
02:29:11 BLOC_A_SERIE_DU_JOUR              5m10s      5m07s      -3s  ✅  I Will Call Upon The Lord
02:34:18 BLOC_A_SERIE_DU_JOUR              8m24s      8m22s      -2s  ✅  Bless Ye the Lord - PHF
02:42:40 BLOC_A_SERIE_DU_JOUR              5m43s      5m40s      -3s  ✅  Cantique l Éternel est mon Berger (1)
02:48:20 BLOC_A_SERIE_DU_JOUR              6m30s      6m28s      -2s  ✅  Praise the Lord of Host - Toronto HF
02:54:48 BLOC_A_SERIE_DU_JOUR              7m37s      7m34s      -3s  ✅  Cantiques  Il a pris mes iniquités
03:02:22 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
03:02:30 BLOC_A_SERIE_DU_JOUR              3m00s      2m57s      -3s  ✅  Jonas 1
03:05:27 BLOC_A_SERIE_DU_JOUR              1m22s      1m19s      -3s  ✅  Jonas 2
03:06:46 BLOC_A_SERIE_DU_JOUR              1m36s      1m34s      -2s  ✅  Jonas 3
