====================================================================================================
MONITEUR RADIO — 2026-08-25 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 32 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:21  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:21  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:26  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:10  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:26  🌐 échec réseau AzuraCast/Liquidsoap  (×23)
RESET MINUIT : restart confirmé vers 00:02:03 · 3 contrôle(s) · ⚠️ doublon vu dans la file
GARDE DE FRONTIÈRE : 3 snapshot(s) · ⚠️ doublon(s) vu(s) dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:32  TROU 107s « jingle avant message 01 voici le message du jour »
          ↳ cause probable 00:01:26 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-08-25 (heures UTC)
262 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:32 BLOC_A_SERIE_DU_JOUR              0m10s      1m57s    +107s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
00:03:29 BLOC_A_SERIE_DU_JOUR           1h26m45s   1h26m42s      -3s  ✅  aps la moisson 20220226 6
01:30:11 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
01:30:19 BLOC_A_SERIE_DU_JOUR              4m55s      4m53s      -2s  ✅  Matthieu 15
01:35:12 BLOC_A_SERIE_DU_JOUR              4m04s      4m01s      -3s  ✅  Matthieu 16
01:39:13 BLOC_A_SERIE_DU_JOUR              4m03s      4m00s      -3s  ✅  Matthieu 17
01:43:13 BLOC_A_SERIE_DU_JOUR              5m01s      4m58s      -3s  ✅  Matthieu 18
01:48:11 BLOC_A_SERIE_DU_JOUR              4m34s      4m32s      -2s  ✅  Matthieu 19
01:52:43 BLOC_A_SERIE_DU_JOUR              4m24s      4m21s      -3s  ✅  Matthieu 20
01:57:04 BLOC_A_SERIE_DU_JOUR              6m50s      6m47s      -3s  ✅  Matthieu 21
02:03:51 BLOC_A_SERIE_DU_JOUR              5m24s      5m23s      -1s  ✅  Matthieu 22
02:09:14 BLOC_A_SERIE_DU_JOUR              5m29s      5m25s      -4s  ✅  Matthieu 23
02:14:39 BLOC_A_SERIE_DU_JOUR              6m29s      6m27s      -2s  ✅  Matthieu 24
02:21:06 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant louange 06 que la louange seleve
02:21:14 BLOC_A_SERIE_DU_JOUR              5m19s      5m17s      -2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
02:26:31 BLOC_A_SERIE_DU_JOUR             11m01s     10m58s      -3s  ✅  Great is, Ascribe - Ketu HF
02:37:29 BLOC_A_SERIE_DU_JOUR              3m12s      3m10s      -2s  ✅  esprit de dieu
02:40:39 BLOC_A_SERIE_DU_JOUR              9m43s      9m40s      -3s  ✅  Thy Throne Oh Lord - Ketu HF
02:50:19 BLOC_A_SERIE_DU_JOUR              8m37s      8m35s      -2s  ✅  He Has Given Me & Emmanuel You Joy Over Us (Medley) (Abasiama Timothy & Imah Adegoke)
02:58:54 BLOC_A_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  Unto Him - CHF
03:05:11 BLOC_A_SERIE_DU_JOUR              7m04s      7m07s      +3s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
03:12:18 BLOC_A_SERIE_DU_JOUR              4m52s      4m49s      -3s  ✅  Hébreux 7
03:17:07 BLOC_A_SERIE_DU_JOUR              2m45s      2m42s      -3s  ✅  Hébreux 8
03:19:49 BLOC_A_SERIE_DU_JOUR              5m14s      5m12s      -2s  ✅  Hébreux 9
03:25:01 BLOC_A_SERIE_DU_JOUR              5m29s      5m26s      -3s  ✅  Hébreux 10
03:30:27 BLOC_A_SERIE_DU_JOUR              6m47s      6m45s      -2s  ✅  Hébreux 11
03:37:12 BLOC_A_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
03:37:20 BLOC_A_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  I Enter The Holy of Holies - Port Harcourt HF
03:42:22 BLOC_A_SERIE_DU_JOUR              4m13s      4m10s      -3s  ✅  4 minutes
03:46:32 BLOC_A_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  There's A Mighty River Flowing - SWBN TV
03:50:50 BLOC_A_SERIE_DU_JOUR              4m14s      4m12s      -2s  ✅  Mon modèle, c est Jésus
03:55:02 BLOC_A_SERIE_DU_JOUR              6m06s      6m03s      -3s  ✅  Good God - Asaba Fellowship
04:01:05 BLOC_A_SERIE_DU_JOUR              7m51s      7m48s      -3s  ✅  There is no name  - Winnipeg Fellowship
04:08:53 BLOC_A_SERIE_DU_JOUR              5m33s      5m31s      -2s  ✅  He Shall Feed His Flock - I Want to walk  - Ketu HF
04:14:24 BLOC_A_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  My Heart Rejoices - Toronto HF
04:22:42 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
04:22:52 BLOC_A_SERIE_DU_JOUR              2m25s      2m24s      -1s  ✅  Cantique des Cantiques 1
04:25:16 BLOC_A_SERIE_DU_JOUR              2m32s      2m29s      -3s  ✅  Cantique des Cantiques 2
04:27:45 BLOC_A_SERIE_DU_JOUR              1m53s      1m51s      -2s  ✅  Cantique des Cantiques 3
04:29:36 BLOC_A_SERIE_DU_JOUR              2m50s      2m47s      -3s  ✅  Cantique des Cantiques 4
04:32:23 BLOC_A_SERIE_DU_JOUR              2m54s      2m52s      -2s  ✅  Cantique des Cantiques 5
04:35:15 BLOC_A_SERIE_DU_JOUR              2m06s      2m03s      -3s  ✅  Cantique des Cantiques 6
04:37:18 BLOC_A_SERIE_DU_JOUR              1m57s      1m54s      -3s  ✅  Cantique des Cantiques 7
04:39:12 BLOC_A_SERIE_DU_JOUR              2m29s      2m26s      -3s  ✅  Cantique des Cantiques 8
04:41:38 BLOC_A_SERIE_DU_JOUR              3m08s      3m06s      -2s  ✅  Proverbes 21
04:44:44 BLOC_A_SERIE_DU_JOUR              2m52s      2m49s      -3s  ✅  Proverbes 22
04:47:33 BLOC_A_SERIE_DU_JOUR              3m16s      3m14s      -2s  ✅  Proverbes 23
04:50:47 BLOC_A_SERIE_DU_JOUR              3m13s      3m10s      -3s  ✅  Proverbes 24
04:53:57 BLOC_A_SERIE_DU_JOUR              2m58s      2m55s      -3s  ✅  Proverbes 25
04:56:52 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant louange 07 voici un temps de louange
04:57:03 BLOC_A_SERIE_DU_JOUR              2m57s      2m54s      -3s  ✅  You Are the Captain of the Host - Toronto HF
04:59:57 BLOC_A_SERIE_DU_JOUR              3m10s      3m08s      -2s  ✅  la Parole
05:03:05 BLOC_A_SERIE_DU_JOUR              8m18s      8m15s      -3s  ✅  Yahweh Is Mighty - SWBN TV
05:11:20 BLOC_A_SERIE_DU_JOUR              9m24s      9m21s      -3s  ✅  I See Your Face - Toronto HF
05:20:41 BLOC_A_SERIE_DU_JOUR              6m06s      6m04s      -2s  ✅  cantique  ta bonte
05:26:45 BLOC_A_SERIE_DU_JOUR              6m57s      6m55s      -2s  ✅  qui est digne d ouvrir le livre
05:33:40 BLOC_A_SERIE_DU_JOUR              5m22s      5m20s      -2s  ✅  God's Got An Army - PHF
05:39:00 BLOC_A_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  We Shall Come - Asaba Fellowship
05:44:04 BLOC_A_SERIE_DU_JOUR              0m09s      0m09s      +0s  ✅  jingle id station 01 la bonne nouvelle partout
05:44:13 BLOC_A_SERIE_DU_JOUR              4m56s      4m54s      -2s  ✅  Apocalypse 21
05:49:07 BLOC_A_SERIE_DU_JOUR              3m34s      3m31s      -3s  ✅  Apocalypse 22
05:52:38 BLOC_A_SERIE_DU_JOUR              3m33s      3m31s      -2s  ✅  Exode 1
05:56:09 BLOC_A_SERIE_DU_JOUR              4m28s      4m25s      -3s  ✅  Exode 2
06:00:34 BLOC_B_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant message 05 vous etes a lecoute de levangile du royaume
06:00:43 BLOC_B_SERIE_DU_JOUR           1h26m45s   1h26m42s      -3s  ✅  aps la moisson 20220226 6
07:27:25 BLOC_B_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
07:27:33 BLOC_B_SERIE_DU_JOUR              3m07s      3m05s      -2s  ✅  Joël 1
07:30:38 BLOC_B_SERIE_DU_JOUR              5m41s      5m38s      -3s  ✅  Joël 2
07:36:16 BLOC_B_SERIE_DU_JOUR              3m36s      3m34s      -2s  ✅  Joël 3
07:39:50 BLOC_B_SERIE_DU_JOUR              2m21s      2m18s      -3s  ✅  Nahum 1
07:42:08 BLOC_B_SERIE_DU_JOUR              2m04s      2m01s      -3s  ✅  Nahum 2
07:44:09 BLOC_B_SERIE_DU_JOUR              3m02s      3m00s      -2s  ✅  Nahum 3
07:47:09 BLOC_B_SERIE_DU_JOUR              7m40s      7m38s      -2s  ✅  Deutéronome 1
07:54:47 BLOC_B_SERIE_DU_JOUR              5m55s      5m52s      -3s  ✅  Deutéronome 2
08:00:39 BLOC_B_SERIE_DU_JOUR              5m07s      5m04s      -3s  ✅  Deutéronome 3
08:05:43 BLOC_B_SERIE_DU_JOUR              9m03s      9m01s      -2s  ✅  Deutéronome 4
08:14:44 BLOC_B_SERIE_DU_JOUR              0m11s      0m08s      -3s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
08:14:52 BLOC_B_SERIE_DU_JOUR              7m17s      7m15s      -2s  ✅  cantique  tes promesses  pub direct dec 2021 import (2)
08:22:07 BLOC_B_SERIE_DU_JOUR              8m21s      8m19s      -2s  ✅  In the Day of Your Power  - Winnipeg Fellowship
08:30:26 BLOC_B_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  cantique  béni soit le dieu d israël
08:36:57 BLOC_B_SERIE_DU_JOUR              6m54s      6m51s      -3s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
08:43:48 BLOC_B_SERIE_DU_JOUR              5m08s      5m06s      -2s  ✅  He Has Given Me - PHF
08:48:54 BLOC_B_SERIE_DU_JOUR              2m16s      2m14s      -2s  ✅  cantique  nous sommes le sel de la terre
08:51:08 BLOC_B_SERIE_DU_JOUR              9m23s      9m20s      -3s  ✅  Thou art Worthy Lord - PHF
09:00:28 BLOC_B_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
09:00:39 BLOC_B_SERIE_DU_JOUR              3m42s      3m39s      -3s  ✅  2 Pierre 1
09:04:18 BLOC_B_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  2 Pierre 2
09:08:20 BLOC_B_SERIE_DU_JOUR              3m17s      3m14s      -3s  ✅  2 Pierre 3
09:11:34 BLOC_B_SERIE_DU_JOUR              3m58s      3m55s      -3s  ✅  Ézéchiel 41
09:15:29 BLOC_B_SERIE_DU_JOUR              3m09s      3m07s      -2s  ✅  Ézéchiel 42
09:18:36 BLOC_B_SERIE_DU_JOUR              4m37s      4m45s      +8s  ✅  Ézéchiel 43
