====================================================================================================
MONITEUR RADIO — 2026-09-01 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 9 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:30  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:30  💥 crash Liquidsoap (redémarrage automatique)  (×2)
   00:01:34  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:23  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
RESET MINUIT : restart confirmé vers 00:02:12 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:40  TROU 99s « jingle avant message 03 vous ecoutez parole prophetique fm »
          ↳ cause probable 00:01:34 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:59:44  COUPÉ 1096s « pqe j6 »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-01 (heures UTC)
307 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:40 BLOC_A_SERIE_DU_JOUR              0m09s      1m48s     +99s  ⚠️ TROU APRÈS  jingle avant message 03 vous ecoutez parole prophetique fm
00:03:28 BLOC_A_SERIE_DU_JOUR             20m13s     20m11s      -2s  ✅  pqe j6
00:23:39 BLOC_A_SERIE_DU_JOUR              0m13s      0m10s      -3s  ✅  jingle avant bible 07 place a la lecture de la bible
00:23:49 BLOC_A_SERIE_DU_JOUR              4m27s      4m25s      -2s  ✅  Jude 1
00:28:14 BLOC_A_SERIE_DU_JOUR              4m38s      4m36s      -2s  ✅  1 Samuel 1
00:32:50 BLOC_A_SERIE_DU_JOUR              6m23s      6m21s      -2s  ✅  1 Samuel 2
00:39:11 BLOC_A_SERIE_DU_JOUR              3m29s      3m26s      -3s  ✅  1 Samuel 3
00:42:37 BLOC_A_SERIE_DU_JOUR              4m01s      3m58s      -3s  ✅  1 Samuel 4
00:46:35 BLOC_A_SERIE_DU_JOUR              2m25s      2m22s      -3s  ✅  1 Samuel 5
00:48:57 BLOC_A_SERIE_DU_JOUR              4m09s      4m07s      -2s  ✅  1 Samuel 6
00:53:04 BLOC_A_SERIE_DU_JOUR              2m51s      2m48s      -3s  ✅  1 Samuel 7
00:55:52 BLOC_A_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  1 Samuel 8
00:58:37 BLOC_A_SERIE_DU_JOUR              5m18s      5m16s      -2s  ✅  1 Samuel 9
01:03:53 BLOC_A_SERIE_DU_JOUR              4m51s      4m48s      -3s  ✅  1 Samuel 10
01:08:41 BLOC_A_SERIE_DU_JOUR              2m50s      2m48s      -2s  ✅  1 Samuel 11
