====================================================================================================
MONITEUR RADIO — 2026-09-03 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 1 double(s) message  ·  serveur : 65 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:35  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
   11:59:29  🔇 bascule sur jingle d'erreur (silence potentiel)  (×2)
   23:32:53  🌐 échec réseau AzuraCast/Liquidsoap  (×60)
RESET MINUIT : restart confirmé vers 00:02:12 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:00:12  COUPÉ 461s « 10 minutes »
          ↳ cause probable 00:01:35 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   12:25:21  DOUBLE MESSAGE « message du jour rejoué »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
   23:57:01  TROU 61s « Adorons l'Éternel GAEL - JÉSUS EST SEIGNEUR - »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-03 (heures UTC)
319 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:00:12 BLOC_E_LOUANGE_NUIT               9m23s      1m42s    -461s  ❌ COUPÉ  10 minutes
00:01:54 ?                                 4m25s      4m25s      +0s  ✅  ?
00:06:19 BLOC_A_SERIE_DU_JOUR             25m04s     25m01s      -3s  ✅  pqe j8
00:31:20 BLOC_A_SERIE_DU_JOUR              0m13s      0m11s      -2s  ✅  jingle avant bible 07 place a la lecture de la bible
00:31:31 BLOC_A_SERIE_DU_JOUR              3m27s      3m24s      -3s  ✅  Proverbes 30
00:34:55 BLOC_A_SERIE_DU_JOUR              2m34s      2m32s      -2s  ✅  Proverbes 31
00:37:27 BLOC_A_SERIE_DU_JOUR              3m39s      3m36s      -3s  ✅  Ruth 1
00:41:03 BLOC_A_SERIE_DU_JOUR              4m14s      4m12s      -2s  ✅  Ruth 2
00:45:15 BLOC_A_SERIE_DU_JOUR              3m00s      2m57s      -3s  ✅  Ruth 3
00:48:12 BLOC_A_SERIE_DU_JOUR              3m43s      3m41s      -2s  ✅  Ruth 4
00:51:53 BLOC_A_SERIE_DU_JOUR              4m35s      4m33s      -2s  ✅  Colossiens 1
00:56:26 BLOC_A_SERIE_DU_JOUR              3m46s      3m44s      -2s  ✅  Colossiens 2
01:00:10 BLOC_A_SERIE_DU_JOUR              3m44s      3m40s      -4s  ✅  Colossiens 3
01:03:50 BLOC_A_SERIE_DU_JOUR              2m56s      2m54s      -2s  ✅  Colossiens 4
01:06:44 BLOC_A_SERIE_DU_JOUR              2m25s      2m22s      -3s  ✅  Job 37
01:09:06 BLOC_A_SERIE_DU_JOUR              3m53s      3m51s      -2s  ✅  Job 38
01:12:57 BLOC_A_SERIE_DU_JOUR              2m57s      2m54s      -3s  ✅  Job 39
01:15:51 BLOC_A_SERIE_DU_JOUR              2m19s      2m17s      -2s  ✅  Job 40
01:18:08 BLOC_A_SERIE_DU_JOUR              3m14s      3m11s      -3s  ✅  Job 41
01:21:19 BLOC_A_SERIE_DU_JOUR              2m40s      2m38s      -2s  ✅  Job 42
01:23:57 BLOC_A_SERIE_DU_JOUR              1m38s      1m35s      -3s  ✅  Apocalypse 15
01:25:32 BLOC_A_SERIE_DU_JOUR              3m30s      3m28s      -2s  ✅  Apocalypse 16
01:29:00 BLOC_A_SERIE_DU_JOUR              0m11s      0m09s      -2s  ✅  jingle avant louange 05 elevons nos coeurs vers dieu
01:29:09 BLOC_A_SERIE_DU_JOUR             10m35s     10m32s      -3s  ✅  Baruch Ha'ba B'Shem Adonai/Blessed Is He Who Comes in the Name of the Lord - Port Harcourt HF
