====================================================================================================
MONITEUR RADIO — 2026-09-07 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 2 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 5 incident(s)
SERVEUR (liquidsoap_events) :
   00:01:21  🌐 échec réseau AzuraCast/Liquidsoap  (×2)
   00:01:28  🔇 bascule sur jingle d'erreur (silence potentiel)  (×3)
RESET MINUIT : restart confirmé vers 00:02:03 · 3 contrôle(s) · ⚠️ doublon vu dans la file
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:33  TROU 101s « jingle avant message 04 bienvenue sur parole prophetique fm »
          ↳ cause probable 00:01:28 : 🔇 bascule sur jingle d'erreur (silence potentiel)
   23:56:59  COUPÉ 141s « qui est digne d ouvrir le livre »
          ↳ aucune cause serveur à proximité (voir CONTRÔLES APPROFONDIS et RÉEL vs PRÉVU ci-dessous)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-07 (heures UTC)
320 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:33 BLOC_A_SERIE_DU_JOUR              0m10s      1m51s    +101s  ⚠️ TROU APRÈS  jingle avant message 04 bienvenue sur parole prophetique fm
00:03:24 BLOC_A_SERIE_DU_JOUR             10m07s     10m04s      -3s  ✅  2020 tian le pardon 2
00:13:28 BLOC_A_SERIE_DU_JOUR              0m10s      0m08s      -2s  ✅  jingle avant bible 06 ouvrons les saintes ecritures
00:13:36 BLOC_A_SERIE_DU_JOUR              4m54s      4m51s      -3s  ✅  Jean 9
00:18:27 BLOC_A_SERIE_DU_JOUR              4m36s      4m34s      -2s  ✅  Jean 10
00:23:01 BLOC_A_SERIE_DU_JOUR              6m58s      6m55s      -3s  ✅  Jean 11
00:29:56 BLOC_A_SERIE_DU_JOUR              6m14s      6m12s      -2s  ✅  Jean 12
00:36:08 BLOC_A_SERIE_DU_JOUR              4m51s      4m49s      -2s  ✅  Jean 13
00:40:57 BLOC_A_SERIE_DU_JOUR              3m52s      3m48s      -4s  ✅  Jean 14
00:44:45 BLOC_A_SERIE_DU_JOUR              3m22s      3m20s      -2s  ✅  Jean 15
00:48:05 BLOC_A_SERIE_DU_JOUR              4m20s      4m18s      -2s  ✅  Jean 16
00:52:23 BLOC_A_SERIE_DU_JOUR              3m14s      3m11s      -3s  ✅  Jean 17
00:55:34 BLOC_A_SERIE_DU_JOUR              5m40s      5m38s      -2s  ✅  Jean 18
01:01:12 BLOC_A_SERIE_DU_JOUR              6m09s      6m06s      -3s  ✅  Jean 19
