====================================================================================================
MONITEUR RADIO — 2026-09-10 (synthèse des 3 rapports + plan, heures UTC)
====================================================================================================
État : ❌ incident(s) détecté(s)  ·  diffusion : 1 coupure(s)/trou(s), 0 double(s) message  ·  serveur : 0 incident(s)
ATTENDU (sans effet à l'antenne, hors verdict) : 199 événement(s) serveur pendant la rotation (23h30-23h40) et le reset de minuit (00h00-00h03) · 1 titre(s) tronqué(s) par le redémarrage de minuit
SERVEUR : aucun incident hors fenêtres planifiées (ni crash, ni échec réseau, ni silence) ✅
   ↳ attendu, hors verdict : 00:01 🌐 échec réseau AzuraCast/Liquidsoap (×2) · 00:01 🔇 bascule sur jingle d'erreur (silence potentiel) (×2) · 23:32 🌐 échec réseau AzuraCast/Liquidsoap (×195)
RESET MINUIT : restart confirmé vers 00:02:09 · 3 contrôle(s) · file saine ✅
INCIDENTS CORRÉLÉS (anomalie de diffusion ↔ cause serveur probable) :
   00:01:38  TROU 95s « jingle avant message 05 vous etes a lecoute de levangile du royaume »
          ↳ cause probable 00:01:33 : 🔇 bascule sur jingle d'erreur (silence potentiel)
(Détail titre par titre, contrôles approfondis et RÉEL vs PRÉVU ci-dessous.)
Rapport de diffusion — 2026-09-10 (heures UTC)
312 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:38 BLOC_A_SERIE_DU_JOUR              0m11s      1m46s     +95s  ⚠️ TROU APRÈS  jingle avant message 05 vous etes a lecoute de levangile du royaume
00:03:24 BLOC_A_SERIE_DU_JOUR              9m42s      9m47s      +5s  ✅  2020 tian le pardon 5
00:13:11 BLOC_A_SERIE_DU_JOUR              2m12s      2m09s      -3s  ✅  2 Thessaloniciens 1
00:15:20 BLOC_A_SERIE_DU_JOUR              2m47s      2m45s      -2s  ✅  2 Thessaloniciens 2
00:18:05 BLOC_A_SERIE_DU_JOUR              2m35s      2m32s      -3s  ✅  2 Thessaloniciens 3
00:20:37 BLOC_A_SERIE_DU_JOUR              3m41s      3m39s      -2s  ✅  2 Rois 16
00:24:16 BLOC_A_SERIE_DU_JOUR              7m17s      7m15s      -2s  ✅  2 Rois 17
00:31:31 BLOC_A_SERIE_DU_JOUR              7m15s      7m12s      -3s  ✅  2 Rois 18
00:38:43 BLOC_A_SERIE_DU_JOUR              7m03s      7m01s      -2s  ✅  2 Rois 19
00:45:44 BLOC_A_SERIE_DU_JOUR              4m05s      4m03s      -2s  ✅  2 Rois 20
00:49:47 BLOC_A_SERIE_DU_JOUR              4m11s      4m08s      -3s  ✅  2 Rois 21
00:53:55 BLOC_A_SERIE_DU_JOUR              4m02s      3m59s      -3s  ✅  2 Rois 22
00:57:54 BLOC_A_SERIE_DU_JOUR              7m51s      7m49s      -2s  ✅  2 Rois 23
01:05:43 BLOC_A_SERIE_DU_JOUR              3m25s      3m22s      -3s  ✅  2 Rois 24
01:09:05 BLOC_A_SERIE_DU_JOUR              5m32s      5m30s      -2s  ✅  2 Rois 25
