2026/08/03 00:00:05 [clock.main:2] We must catchup 0.09 seconds!
2026/08/03 00:01:28 [lang:2] Could not perform http request: CurlException(Aborted_by_callback, 42, CURLE_ABORTED_BY_CALLBACK).
2026/08/03 00:01:28 [lang.deprecated:2] WARNING: "error.kind" is deprecated and will be removed in future version.
2026/08/03 00:01:28 [lang.deprecated:2] WARNING: "error.message" is deprecated and will be removed in future version.
2026/08/03 00:01:28 [lang:3] API djoff - Error: http - CurlException(Aborted_by_callback, 42, CURLE_ABORTED_BY_CALLBACK)
2026/08/03 00:01:33 [lang.deprecated:2] WARNING: "map_metadata" is deprecated and will be removed in future version. Please use "metadata.map" instead.
2026/08/03 00:01:33 [lang.deprecated:2] WARNING: "map_metadata" is deprecated and will be removed in future version. Please use "metadata.map" instead.
2026/08/03 00:01:33 [error_jingle:3] "/usr/local/share/icecast/web/error.mp3" is static, resolving once for all...
2026/08/03 00:01:33 [error_jingle:3] Prepared "/usr/local/share/icecast/web/error.mp3" (RID 6).
2026/08/03 00:01:33 [safe_fallback:3] Switch to error_jingle.
2026/08/03 00:01:33 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_03_vous_ecoutez_parole_prophetique_fm.mp3" (RID 8).
2026/08/03 00:01:33 [safe_fallback:3] Switch to amplify_0 with transition.
2026/08/03 00:01:33 [live_fallback:3] Switch to cross_0.
2026/08/03 00:01:33 [interrupting_fallback:3] Switch to requests_fallback.
2026/08/03 00:01:33 [requests_fallback:3] Switch to autodj_fallback.
2026/08/03 00:01:33 [autodj_fallback:3] Switch to dynamic_startup.
2026/08/03 00:01:33 [dynamic_startup:3] Switch to cue_next_song.
2026/08/03 00:01:39 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_03_vous_ecoutez_parole_prophetique_fm.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 00:01:40 [playlist_000_transition:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_1.mp3" (RID 12).
2026/08/03 00:01:40 [autodj_fallback:3] Switch to schedule_switch with forgetful transition.
2026/08/03 00:01:40 [schedule_switch:3] Switch to metadata.map_0.
2026/08/03 00:03:15 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_1.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 00:03:15 [playlist_bloc_a_serie_du_jour:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_03_vous_ecoutez_parole_prophetique_fm.mp3" (RID 7).
2026/08/03 00:03:15 [schedule_switch:3] Switch to cue_playlist_bloc_a_serie_du_jour with forgetful transition.
2026/08/03 00:03:15 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_3.mp3" (RID 15).
2026/08/03 00:03:15 [autodj_fallback:3] Switch to dynamic_startup with forgetful transition.
2026/08/03 00:03:15 [dynamic_startup:3] Switch to cue_next_song.
2026/08/03 00:05:27 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_3.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 00:05:28 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/aa_la_révélation_de_la_victoire_du_fils_mâle.mp3" (RID 16).
2026/08/03 00:34:34 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/aa_la_révélation_de_la_victoire_du_fils_mâle.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 00:34:34 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_bible_08_prenons_un_moment_pour_ecouter_la_parole.mp3" (RID 17).
2026/08/03 00:34:40 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_bible_08_prenons_un_moment_pour_ecouter_la_parole.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 00:34:41 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_008.mp3" (RID 18).
2026/08/03 00:38:36 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_008.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 00:38:37 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_009.mp3" (RID 19).
2026/08/03 00:46:21 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_009.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 00:46:21 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_010.mp3" (RID 20).
2026/08/03 00:50:54 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_010.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 00:50:55 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_011.mp3" (RID 21).
2026/08/03 00:55:46 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_011.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 00:55:47 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_012.mp3" (RID 22).
2026/08/03 01:02:13 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_012.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:02:13 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_013.mp3" (RID 23).
2026/08/03 01:07:30 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/néhémie_013.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:07:31 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/2_thessaloniciens_001.mp3" (RID 24).
2026/08/03 01:09:40 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/2_thessaloniciens_001.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:09:40 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/2_thessaloniciens_002.mp3" (RID 25).
2026/08/03 01:12:24 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/2_thessaloniciens_002.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:12:25 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/2_thessaloniciens_003.mp3" (RID 26).
2026/08/03 01:14:56 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/2_thessaloniciens_003.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:14:57 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/lamentations_005.mp3" (RID 27).
2026/08/03 01:17:14 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/lamentations_005.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:17:14 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/2_corinthiens_013.mp3" (RID 28).
2026/08/03 01:19:36 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/2_corinthiens_013.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:19:36 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/nombres_014.mp3" (RID 29).
2026/08/03 01:26:16 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/nombres_014.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:26:17 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/nombres_015.mp3" (RID 30).
2026/08/03 01:32:01 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/nombres_015.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:32:01 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_louange_07_voici_un_temps_de_louange.mp3" (RID 31).
2026/08/03 01:32:11 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_louange_07_voici_un_temps_de_louange.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:32:12 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/SWBN Lead Concert Live Worship/05 - Jesus I'm Waiting for You (Mary Umoh).mp3" (RID 32).
2026/08/03 01:37:59 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/SWBN Lead Concert Live Worship/05 - Jesus I'm Waiting for You (Mary Umoh).mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:37:59 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Cantiques du royaume/Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable.mp3" (RID 33).
2026/08/03 01:42:07 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Cantiques du royaume/Cantique   Oh Éternel Dieu, Tu es le Dieu Incomparable.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:42:08 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Worship/38 - That I May Know Him - Toronto HF.mp3" (RID 34).
2026/08/03 01:48:14 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Worship/38 - That I May Know Him - Toronto HF.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:48:15 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Worship/12 - As We Worship - Toronto & Winnipeg HF.mp3" (RID 35).
2026/08/03 01:58:24 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Worship/12 - As We Worship - Toronto & Winnipeg HF.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 01:58:25 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Cantiques du royaume/jean-christ_-_10_minutes.mp3" (RID 36).
2026/08/03 02:07:45 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Cantiques du royaume/jean-christ_-_10_minutes.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 02:07:46 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Worship/30 - Yeshua I'm Waiting for You  - Ketu HF.mp3" (RID 37).
2026/08/03 02:12:31 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Worship/30 - Yeshua I'm Waiting for You  - Ketu HF.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 02:12:32 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Worship/39 - My Heart Rejoices - Toronto HF.mp3" (RID 38).
2026/08/03 02:20:50 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Worship/39 - My Heart Rejoices - Toronto HF.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 02:20:50 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Worship/40 - I See Your Face - Toronto HF.mp3" (RID 39).
2026/08/03 02:30:11 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Worship/40 - I See Your Face - Toronto HF.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 02:30:11 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_bible_06_ouvrons_les_saintes_ecritures.mp3" (RID 40).
2026/08/03 02:30:19 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_bible_06_ouvrons_les_saintes_ecritures.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 02:30:19 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_012.mp3" (RID 41).
2026/08/03 02:32:53 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_012.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 02:32:53 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_013.mp3" (RID 42).
2026/08/03 02:37:00 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_013.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 02:37:01 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_014.mp3" (RID 43).
2026/08/03 02:40:56 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_014.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 02:40:57 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_015.mp3" (RID 44).
2026/08/03 02:44:32 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_015.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/03 02:44:33 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_016.mp3" (RID 45).
2026/08/03 02:51:00 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/juges_016.mp3" ended: Ffmpeg_decoder.End_of_file.
