2026/08/04 00:00:13 [clock.main:2] We must catchup 1.04 seconds!
2026/08/04 00:00:14 [clock.main:2] We must catchup 1.23 seconds!
2026/08/04 00:00:17 [clock.main:2] We must catchup 0.30 seconds!
2026/08/04 00:01:21 [lang:2] Could not perform http request: CurlException(Aborted_by_callback, 42, CURLE_ABORTED_BY_CALLBACK).
2026/08/04 00:01:21 [lang.deprecated:2] WARNING: "error.kind" is deprecated and will be removed in future version.
2026/08/04 00:01:21 [lang.deprecated:2] WARNING: "error.message" is deprecated and will be removed in future version.
2026/08/04 00:01:21 [lang:3] API djoff - Error: http - CurlException(Aborted_by_callback, 42, CURLE_ABORTED_BY_CALLBACK)
2026/08/04 00:01:26 [lang.deprecated:2] WARNING: "map_metadata" is deprecated and will be removed in future version. Please use "metadata.map" instead.
2026/08/04 00:01:26 [lang.deprecated:2] WARNING: "map_metadata" is deprecated and will be removed in future version. Please use "metadata.map" instead.
2026/08/04 00:01:26 [error_jingle:3] "/usr/local/share/icecast/web/error.mp3" is static, resolving once for all...
2026/08/04 00:01:26 [error_jingle:3] Prepared "/usr/local/share/icecast/web/error.mp3" (RID 6).
2026/08/04 00:01:26 [safe_fallback:3] Switch to error_jingle.
2026/08/04 00:01:26 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_04_bienvenue_sur_parole_prophetique_fm.mp3" (RID 9).
2026/08/04 00:01:26 [safe_fallback:3] Switch to amplify_0 with transition.
2026/08/04 00:01:26 [live_fallback:3] Switch to cross_0.
2026/08/04 00:01:26 [interrupting_fallback:3] Switch to requests_fallback.
2026/08/04 00:01:26 [requests_fallback:3] Switch to autodj_fallback.
2026/08/04 00:01:26 [autodj_fallback:3] Switch to dynamic_startup.
2026/08/04 00:01:26 [dynamic_startup:3] Switch to cue_next_song.
2026/08/04 00:01:33 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_04_bienvenue_sur_parole_prophetique_fm.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/04 00:01:33 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_04_bienvenue_sur_parole_prophetique_fm.mp3" (RID 14).
2026/08/04 00:01:40 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_04_bienvenue_sur_parole_prophetique_fm.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/04 00:01:41 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_1.mp3" (RID 15).
2026/08/04 00:03:16 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_1.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/04 00:03:17 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/2017_ndimy_distraction_comme_aux_jours_de_noe_et_lot_1-2.mp3" (RID 16).
2026/08/04 01:05:19 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/2017_ndimy_distraction_comme_aux_jours_de_noe_et_lot_1-2.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/04 01:05:20 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_bible_06_ouvrons_les_saintes_ecritures.mp3" (RID 17).
2026/08/04 01:05:27 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_bible_06_ouvrons_les_saintes_ecritures.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/04 01:05:27 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/jérémie_011.mp3" (RID 18).
2026/08/04 01:09:36 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/jérémie_011.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/04 01:09:36 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/jérémie_012.mp3" (RID 19).
2026/08/04 01:12:49 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/jérémie_012.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/04 01:12:49 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/jérémie_013.mp3" (RID 20).
2026/08/04 01:17:22 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/jérémie_013.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/04 01:17:22 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/jérémie_014.mp3" (RID 21).
2026/08/04 01:21:42 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/jérémie_014.mp3" ended: Ffmpeg_decoder.End_of_file.
