2026/08/30 00:00:12 [clock.main:2] We must catchup 0.41 seconds!
2026/08/30 00:00:16 [clock.main:2] We must catchup 1.05 seconds!
2026/08/30 00:01:39 [lang.deprecated:2] WARNING: "map_metadata" is deprecated and will be removed in future version. Please use "metadata.map" instead.
2026/08/30 00:01:39 [lang.deprecated:2] WARNING: "map_metadata" is deprecated and will be removed in future version. Please use "metadata.map" instead.
2026/08/30 00:01:39 [error_jingle:3] "/usr/local/share/icecast/web/error.mp3" is static, resolving once for all...
2026/08/30 00:01:39 [error_jingle:3] Prepared "/usr/local/share/icecast/web/error.mp3" (RID 6).
2026/08/30 00:01:39 [safe_fallback:3] Switch to error_jingle.
2026/08/30 00:01:40 [playlist_000_transition:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_2.mp3" (RID 11).
2026/08/30 00:01:40 [safe_fallback:3] Switch to amplify_0 with transition.
2026/08/30 00:01:40 [live_fallback:3] Switch to cross_0.
2026/08/30 00:01:40 [interrupting_fallback:3] Switch to requests_fallback.
2026/08/30 00:01:40 [requests_fallback:3] Switch to autodj_fallback.
2026/08/30 00:01:40 [autodj_fallback:3] Switch to schedule_switch.
2026/08/30 00:01:40 [schedule_switch:3] Switch to metadata.map_0.
2026/08/30 00:01:50 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_1.mp3" (RID 14).
2026/08/30 00:03:08 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_2.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:03:08 [playlist_bloc_a_serie_du_jour:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_03_vous_ecoutez_parole_prophetique_fm.mp3" (RID 7).
2026/08/30 00:03:08 [schedule_switch:3] Switch to cue_playlist_bloc_a_serie_du_jour with forgetful transition.
2026/08/30 00:03:08 [autodj_fallback:3] Switch to dynamic_startup with forgetful transition.
2026/08/30 00:03:08 [dynamic_startup:3] Switch to cue_next_song.
2026/08/30 00:04:44 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/jingles_de_transition_1.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:04:44 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_03_vous_ecoutez_parole_prophetique_fm.mp3" (RID 15).
2026/08/30 00:04:50 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_message_03_vous_ecoutez_parole_prophetique_fm.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:04:51 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Parole qui éclaire/pqe_j4.mp3" (RID 16).
2026/08/30 00:28:51 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Parole qui éclaire/pqe_j4.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:28:51 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_bible_06_ouvrons_les_saintes_ecritures.mp3" (RID 17).
2026/08/30 00:28:59 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/Jingle/jingle_avant_bible_06_ouvrons_les_saintes_ecritures.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:28:59 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_018.mp3" (RID 18).
2026/08/30 00:33:34 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_018.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:33:35 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_019.mp3" (RID 19).
2026/08/30 00:37:42 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_019.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:37:43 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_020.mp3" (RID 20).
2026/08/30 00:44:29 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_020.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:44:29 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_021.mp3" (RID 21).
2026/08/30 00:46:59 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_021.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:47:00 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_022.mp3" (RID 22).
2026/08/30 00:51:09 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_022.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:51:10 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_023.mp3" (RID 23).
2026/08/30 00:55:46 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_023.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:55:46 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_024.mp3" (RID 24).
2026/08/30 00:59:17 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_024.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 00:59:18 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_025.mp3" (RID 25).
2026/08/30 01:06:37 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_025.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 01:06:37 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_026.mp3" (RID 26).
2026/08/30 01:11:10 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_026.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 01:11:10 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_027.mp3" (RID 27).
2026/08/30 01:13:12 [decoder:2] Decoding "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_027.mp3" ended: Ffmpeg_decoder.End_of_file.
2026/08/30 01:13:12 [next_song:3] Prepared "/var/azuracast/stations/evangile_du_royaume/media/La bible/1_samuel_028.mp3" (RID 28).
